solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
57,iterative,auto,warm,1,,True,0,120,0.5,0.2,fixed,1000,100,100,0,1,,7140,101,0.0
57,iterative,auto,warm,1,,True,1,120,0.5,0.2,fixed,1000,1000,1000,100,1,,7140,1001,0.03125
57,iterative,auto,warm,1,,True,2,120,0.5,0.2,fixed,1000,1000,1000,1000,1,,7140,1001,0.015625
57,iterative,auto,warm,1,,True,3,120,0.5,0.2,fixed,1000,1000,1000,1000,1,,7140,1001,0.015625
57,iterative,auto,warm,1,,True,4,120,0.5,0.2,fixed,1000,1000,1000,596,1,,7140,1405,0.046875
57,iterative,auto,warm,1,,True,5,120,0.5,0.2,fixed,1000,1000,1000,499,1,,7140,1906,0.046875
57,iterative,auto,warm,1,,True,6,120,0.5,0.2,fixed,1000,1000,1000,278,1,,7140,2628,0.0625
57,iterative,auto,warm,1,,True,7,120,0.5,0.2,fixed,1000,1000,1000,432,1,,7140,3196,0.09375
57,iterative,auto,warm,1,,True,8,120,0.5,0.2,fixed,1000,1000,1000,716,1,,7140,3480,0.140625
57,iterative,auto,warm,1,,True,9,120,0.5,0.2,fixed,1000,1000,1000,769,1,,7140,3711,0.15625
57,iterative,auto,warm,1,,True,10,120,0.5,0.2,fixed,1000,1000,1000,766,1,,7140,3945,0.171875
57,iterative,auto,warm,1,,True,11,120,0.5,0.2,fixed,1000,1000,1000,828,1,,7140,4117,0.265625
57,iterative,auto,warm,1,,True,12,120,0.5,0.2,fixed,1000,1000,1000,881,1,,7140,4236,0.25
57,iterative,auto,warm,1,,True,13,120,0.5,0.2,fixed,1000,1000,1000,876,1,,7140,4360,0.328125
57,iterative,auto,warm,1,,True,14,120,0.5,0.2,fixed,1000,1000,1000,781,1,,7140,4579,1.25
57,iterative,auto,warm,1,,True,15,120,0.5,0.2,fixed,1000,1000,1000,827,1,,7140,4752,1.578125
57,iterative,auto,warm,1,,True,16,120,0.5,0.2,fixed,1000,1000,1000,783,1,,7140,4969,2.796875
57,iterative,auto,warm,1,,True,17,120,0.5,0.2,fixed,1000,1000,1000,897,1,,7140,5072,3.375
57,iterative,auto,warm,1,,True,18,120,0.5,0.2,fixed,1000,1000,1000,828,1,,7140,5244,3.0625
57,iterative,auto,warm,1,,True,19,120,0.5,0.2,fixed,1000,1000,1000,877,1,,7140,5367,3.78125
57,iterative,auto,warm,1,,True,20,120,0.5,0.2,fixed,1000,1000,1000,824,1,,7140,5543,5.75
57,iterative,auto,warm,1,,True,21,120,0.5,0.2,fixed,1000,1000,1000,861,1,,7140,5682,7.625
57,iterative,auto,warm,1,,True,22,120,0.5,0.2,fixed,1000,1000,1000,839,1,,7140,5843,9.984375
57,iterative,auto,warm,1,,True,23,120,0.5,0.2,fixed,1000,1000,1000,807,1,,7140,6036,13.171875
57,iterative,auto,warm,1,,True,24,120,0.5,0.2,fixed,1000,1000,1000,827,1,,7140,6209,14.046875
57,iterative,auto,warm,1,,True,25,120,0.5,0.2,fixed,1000,1000,1000,860,1,,7140,6349,17.25
57,iterative,auto,warm,1,,True,26,120,0.5,0.2,fixed,1000,1000,1000,861,1,,7140,6488,19.28125
57,iterative,auto,warm,1,,True,27,120,0.5,0.2,fixed,1000,1000,1000,897,1,,7140,6591,23.046875
57,iterative,auto,warm,1,,True,28,120,0.5,0.2,fixed,1000,1000,1000,867,1,,7140,6724,25.6875
57,iterative,auto,warm,1,,True,29,120,0.5,0.2,fixed,1000,1000,1000,864,1,,7140,6860,28.125
57,iterative,auto,warm,1,,True,30,120,0.5,0.2,fixed,1000,1000,1000,931,1,,7140,6929,30.1875
57,iterative,auto,warm,1,,True,31,120,0.5,0.2,fixed,1000,1000,1000,933,1,,7140,6996,35.171875
57,iterative,auto,warm,1,,True,32,120,0.5,0.2,fixed,1000,1000,1000,904,1,,7140,7092,37.140625
57,iterative,auto,warm,1,,True,33,120,0.5,0.2,fixed,1000,1000,1000,921,1,,7140,7171,36.390625
57,iterative,auto,warm,1,,True,34,120,0.5,0.2,fixed,1000,1000,1000,960,1,,7140,7211,37.65625
57,iterative,auto,warm,1,,True,35,120,0.5,0.2,fixed,1000,1000,1000,982,1,,7140,7229,38.765625
57,iterative,auto,warm,1,,True,36,120,0.5,0.2,fixed,1000,1000,1000,984,1,,7140,7245,37.203125
57,iterative,auto,warm,1,,True,37,120,0.5,0.2,fixed,1000,1000,1000,991,1,,7140,7254,35.796875
57,iterative,auto,warm,1,,True,38,120,0.5,0.2,fixed,1000,1000,1000,996,1,,7140,7258,36.453125
57,iterative,auto,warm,1,,True,39,120,0.5,0.2,fixed,1000,1000,1000,1009,1,,7140,7249,34.734375
57,iterative,auto,warm,1,,True,40,120,0.5,0.2,fixed,1000,1000,1000,964,1,,7140,7285,30.84375
57,iterative,auto,warm,1,,True,41,120,0.5,0.2,fixed,1000,1000,1000,1042,1,,7140,7243,29.75
57,iterative,auto,warm,1,,True,42,120,0.5,0.2,fixed,1000,1000,1000,991,1,,7140,7252,29.921875
57,iterative,auto,warm,1,,True,43,120,0.5,0.2,fixed,1000,1000,1000,963,1,,7140,7289,30.0625
57,iterative,auto,warm,1,,True,44,120,0.5,0.2,fixed,1000,1000,932,923,1,,7140,7298,31.140625
57,iterative,auto,warm,1,,True,45,120,0.5,0.2,fixed,1000,1000,1000,798,1,,7140,7500,30.875
