solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
39,once,auto,cold,1,,0,60,0.8,0.2,fixed,100,136880,136880,1,,1770,136881,39.079951608000556
39,iterative,auto,warm,1,,0,60,0.8,0.2,fixed,100,100,100,1,,1770,101,0.006073651000406244
39,iterative,auto,warm,1,,1,60,0.8,0.2,fixed,100,100,100,1,,1770,201,0.002419961000668991
39,iterative,auto,warm,1,,2,60,0.8,0.2,fixed,100,100,100,1,,1770,301,0.003452154000115115
39,iterative,auto,warm,1,,3,60,0.8,0.2,fixed,100,100,100,1,,1770,401,0.005448423999951046
39,iterative,auto,warm,1,,4,60,0.8,0.2,fixed,100,100,100,1,,1770,501,0.004566014000374707
39,iterative,auto,warm,1,,5,60,0.8,0.2,fixed,100,100,100,1,,1770,601,0.0035044389996983227
39,iterative,auto,warm,1,,6,60,0.8,0.2,fixed,100,100,100,1,,1770,701,0.007266216999596509
39,iterative,auto,warm,1,,7,60,0.8,0.2,fixed,100,100,100,1,,1770,801,0.0071282330000030925
39,iterative,auto,warm,1,,8,60,0.8,0.2,fixed,100,100,100,1,,1770,901,0.019994916000541707
39,iterative,auto,warm,1,,9,60,0.8,0.2,fixed,100,100,100,1,,1770,1001,0.04259884000020975
39,iterative,auto,warm,1,,10,60,0.8,0.2,fixed,100,100,100,1,,1770,1101,0.0679223320003075
39,iterative,auto,warm,1,,11,60,0.8,0.2,fixed,100,100,100,1,,1770,1201,0.1061734670001897
39,iterative,auto,warm,1,,12,60,0.8,0.2,fixed,100,100,100,1,,1770,1301,0.1599187619995064
39,iterative,auto,warm,1,,13,60,0.8,0.2,fixed,100,100,100,1,,1770,1401,0.17619067700070445
39,iterative,auto,warm,1,,14,60,0.8,0.2,fixed,100,100,100,1,,1770,1501,0.22862039299980097
39,iterative,auto,warm,1,,15,60,0.8,0.2,fixed,100,100,100,1,,1770,1601,0.05092306999995344
39,iterative,auto,warm,1,,16,60,0.8,0.2,fixed,100,100,100,1,,1770,1701,0.0057614110000940855
