solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,1,,110,0.5,0.1,fixed,1000,5995,863281,2112.474868538,2070.901414177,41.57345436100013,314.00000000001285
0,iterative,auto,warm,0.01,,110,0.5,0.1,fixed,1000,5995,10743,210.96858226799986,196.13408303599908,14.83449923200078,313.9999999999991
0,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,1000,5995,9949,99.91812489299991,79.05713417400011,20.8609907189998,314.0000000000002
0,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,1000,5995,9573,114.13840359399956,96.04564940600085,18.092754187998707,313.99999999999795
0,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,1000,5995,9550,115.3284175140002,100.56752095599995,14.76089655800024,313.99999999999966
1,once,auto,cold,1,,110,0.5,0.1,fixed,10000,5995,863281,1817.4089764299997,1772.9956319460002,44.41334448399948,315.99999999998784
1,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,10000,5995,21148,58.528201295000144,41.75701284599927,16.771188449000874,315.9999999999982
1,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,10000,5995,20348,31.186964511000042,20.85123662299975,10.335727888000292,316.0000000000021
1,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,10000,5995,25310,60.77676192600029,46.61004072000014,14.166721206000148,315.9999999999934
2,once,auto,cold,1,,110,0.5,0.1,fixed,100000,5995,863281,1976.4972994110003,1932.010466611,44.48683280000023,324.0000000000188
2,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,100000,5995,156865,1160.9248246669995,1143.0508267409996,17.873997925999902,323.99999999999926
3,once,auto,cold,1,,110,0.5,0.1,fixed,1000000,5995,863281,2249.93016893,2206.4148093109998,43.515359619000265,329.0000000000156
4,once,auto,cold,1,,110,0.5,0.2,fixed,1000,5995,863281,658.8740191840006,616.333936287001,42.54008289699959,634.9142280524724
4,iterative,auto,warm,0.01,,110,0.5,0.2,fixed,1000,5995,20044,3013.8236915800007,2985.3375768680016,28.486114711999107,634.9142280524713
4,iterative,auto,warm,0.1,,110,0.5,0.2,fixed,1000,5995,17743,2033.9293294010004,2002.3929961729991,31.53633322800124,634.9142280524732
4,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,1000,5995,18695,2460.644174574001,2425.546531622007,35.0976429519942,634.9142280524744
4,iterative,auto,warm,1,0.9,110,0.5,0.2,fixed,1000,5995,17547,1961.1473079290008,1919.4642007270086,41.68310720199224,634.9142280524725
5,once,auto,cold,1,,110,0.5,0.2,fixed,10000,5995,863281,3156.563286567998,3112.6105506450003,43.95273592299782,585.0000000000018
5,iterative,auto,warm,0.1,,110,0.5,0.2,fixed,10000,5995,21267,586.0521503309974,573.8929758200029,12.15917451099449,584.9999999999984
5,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,10000,5995,21196,261.0114977640005,249.68593394500203,11.32556381899849,585.0000000000018
5,iterative,auto,warm,1,0.9,110,0.5,0.2,fixed,10000,5995,30106,671.2852773459999,653.2794584070034,18.005818938996526,585.000000000001
6,once,auto,cold,1,,110,0.5,0.2,fixed,100000,5995,863281,635.2401622710022,590.661786415003,44.578375855999184,645.6558040684146
6,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,100000,5995,166646,4135.529536804002,4116.472592467995,19.05694433600729,645.6558040684196
7,once,auto,cold,1,,110,0.5,0.2,fixed,1000000,5995,863281,2698.3577304049977,2655.413658413003,42.94407199199486,626.0000000000042
8,once,auto,cold,1,,110,0.8,0.1,fixed,1000,5995,863281,573.480343129002,530.0139967959985,43.46634633300346,332.0000000000037
8,iterative,auto,warm,0.01,,110,0.8,0.1,fixed,1000,5995,4101,11.284665748004045,0.24794079700222937,11.036724951001815,332.0
8,iterative,auto,warm,0.1,,110,0.8,0.1,fixed,1000,5995,5101,11.426758542002062,0.2865672049956629,11.1401913370064,332.0
8,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,1000,5995,5101,9.981905052998627,0.29223206699680304,9.689672986001824,332.0
8,iterative,auto,warm,1,0.9,110,0.8,0.1,fixed,1000,5995,5101,12.385574280997389,0.3223463729809737,12.063227908016415,332.0
9,once,auto,cold,1,,110,0.8,0.1,fixed,10000,5995,863281,473.2492804270005,431.35762127400085,41.89165915299964,276.99999999999903
9,iterative,auto,warm,0.1,,110,0.8,0.1,fixed,10000,5995,20101,14.591602401000273,1.1108411399982288,13.480761261002044,277.0
9,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,10000,5995,20101,11.3390733060005,1.0769253670005128,10.262147938999988,277.0
9,iterative,auto,warm,1,0.9,110,0.8,0.1,fixed,10000,5995,20101,11.515316739001719,0.9489423480044934,10.566374390997225,277.0
10,once,auto,cold,1,,110,0.8,0.1,fixed,100000,5995,863281,642.0836338759982,599.1386372289999,42.944996646998334,289.999999999995
10,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,100000,5995,87001,145.4792346289978,131.87140589600313,13.607828732994676,290.0
11,once,auto,cold,1,,110,0.8,0.1,fixed,1000000,5995,863281,553.6852760169932,512.2651141789975,41.42016183799569,299.0
12,once,auto,cold,1,,110,0.8,0.2,fixed,1000,5995,863281,1074.7443278989958,1033.6353631999955,41.10896469900035,606.9999999999977
12,iterative,auto,warm,0.01,,110,0.8,0.2,fixed,1000,5995,6101,15.409271506003279,0.47479388700594427,14.934477618997335,607.0
12,iterative,auto,warm,0.1,,110,0.8,0.2,fixed,1000,5995,6101,12.628437309002038,0.35205150901310844,12.27638579998893,607.0
12,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,1000,5995,7523,16.485378525998385,3.8637010649836157,12.62167746101477,607.0
12,iterative,auto,warm,1,0.9,110,0.8,0.2,fixed,1000,5995,7101,16.651807139001903,3.434480069001438,13.217327070000465,607.0
13,once,auto,cold,1,,110,0.8,0.2,fixed,10000,5995,863281,998.8978235850009,957.5745122410008,41.3233113440001,582.9999999999451
13,iterative,auto,warm,0.1,,110,0.8,0.2,fixed,10000,5995,11803,14.215840895005385,1.0981615989949205,13.117679296010465,583.0
13,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,10000,5995,10101,9.842036711997935,0.37911510400590487,9.46292160799203,583.0
13,iterative,auto,warm,1,0.9,110,0.8,0.2,fixed,10000,5995,10529,10.343956983997487,0.7110265540031833,9.632930429994303,583.0
14,once,auto,cold,1,,110,0.8,0.2,fixed,100000,5995,863281,967.7826137459997,924.5670523060035,43.215561439996236,619.9999999999932
14,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,100000,5995,88921,362.58309154499875,348.723547545007,13.859543999991729,619.9999999999997
15,once,auto,cold,1,,110,0.8,0.2,fixed,1000000,5995,863281,1194.775267324003,1152.2235405870015,42.551726737001445,611.0000000000614
16,once,auto,cold,1,,110,0.5,0.1,fixed,1000,5995,863281,1485.1569350270001,1443.7909471210005,41.365987905999646,299.99999999998516
16,iterative,auto,warm,0.01,,110,0.5,0.1,fixed,1000,5995,9101,120.9345877139931,108.65974275599729,12.27484495799581,299.9999999999942
16,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,1000,5995,9101,54.4832677440063,36.715179460996296,17.76808828301,300.00000000000017
16,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,1000,5995,9101,77.6334340789981,62.851070603013795,14.782363475984312,299.99999999999807
16,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,1000,5995,9177,88.33394928000052,73.51292032199854,14.821028958001989,299.9999999999981
17,once,auto,cold,1,,110,0.5,0.1,fixed,10000,5995,863281,1531.6860996079995,1490.2732055000015,41.412894107998,290.9999999999856
17,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,10000,5995,21901,44.65939213499951,28.731022116997337,15.92837001800217,290.99999999999545
17,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,10000,5995,20900,36.51006778199371,26.796523614000762,9.71354416799295,290.9999999999994
17,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,10000,5995,22009,32.86034209000354,19.54559676801,13.314745321993541,291.00000000000597
18,once,auto,cold,1,,110,0.5,0.1,fixed,100000,5995,863281,1577.3407371399953,1535.5373672819987,41.803369857996586,323.0000000000033
18,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,100000,5995,155993,878.140143548997,861.9379633130011,16.20218023599591,323.0
19,once,auto,cold,1,,110,0.5,0.1,fixed,1000000,5995,863281,1305.8364905169947,1264.7980701030028,41.038420413991844,281.9999999999978
20,once,auto,cold,1,,110,0.5,0.2,fixed,1000,5995,863281,2366.692857756003,2326.7358175120025,39.95704024400038,640.999999999998
20,iterative,auto,warm,0.01,,110,0.5,0.2,fixed,1000,5995,16101,2316.320419919997,2301.1202249840135,15.200194935983745,640.9999999999995
20,iterative,auto,warm,0.1,,110,0.5,0.2,fixed,1000,5995,14101,1249.184848386998,1229.0134677230017,20.171380663996388,640.9999999999976
20,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,1000,5995,15399,1458.324730528002,1436.314350464003,22.010380063999037,640.9999999999964
20,iterative,auto,warm,1,0.9,110,0.5,0.2,fixed,1000,5995,13779,1341.7045703469994,1312.1414948169768,29.563075530022616,640.9999999999966
21,once,auto,cold,1,,110,0.5,0.2,fixed,10000,5995,863281,2847.3894346300003,2804.0372783409985,43.35215628900187,617.999999999999
21,iterative,auto,warm,0.1,,110,0.5,0.2,fixed,10000,5995,30101,1134.1327580610014,1121.1139677829924,13.018790278008964,618.0000000000039
21,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,10000,5995,30101,774.2994818649968,757.9524949019833,16.346986963013478,618.0000000000033
21,iterative,auto,warm,1,0.9,110,0.5,0.2,fixed,10000,5995,35884,1386.2765844020032,1367.335934169998,18.940650232005282,618.0000000000002
22,once,auto,cold,1,,110,0.5,0.2,fixed,100000,5995,863281,2523.6887072939935,2481.895337563001,41.79336973099271,621.9999999999955
22,iterative,auto,warm,1,0.5,110,0.5,0.2,fixed,100000,5995,164608,2438.888058155004,2421.9462751770043,16.941782977999537,621.9999999999981
23,once,auto,cold,1,,110,0.5,0.2,fixed,1000000,5995,863281,2699.652644186004,2657.7716214609973,41.881022725006915,618.0000000000011
24,once,auto,cold,1,,110,0.8,0.1,fixed,1000,5995,863281,597.9225052350084,556.1235001120076,41.799005123000825,304.00000000000136
24,iterative,auto,warm,0.01,,110,0.8,0.1,fixed,1000,5995,5101,14.090569438005332,0.2985384919884382,13.792030946016894,304.0
24,iterative,auto,warm,0.1,,110,0.8,0.1,fixed,1000,5995,5101,11.349461017001886,0.2463514999835752,11.10310951701831,304.0
24,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,1000,5995,5101,9.926854919001926,0.28179014299530536,9.64506477600662,304.0
24,iterative,auto,warm,1,0.9,110,0.8,0.1,fixed,1000,5995,5101,12.117364969002665,0.2864869490003912,11.830878020002274,304.0
25,once,auto,cold,1,,110,0.8,0.1,fixed,10000,5995,863281,636.0760061390029,594.3522674429987,41.72373869600415,308.9999999999969
25,iterative,auto,warm,0.1,,110,0.8,0.1,fixed,10000,5995,20101,13.633703315994353,0.8170257879974088,12.816677527996944,309.0
25,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,10000,5995,20101,11.371777823005687,0.8189749930170365,10.55280282998865,309.0
25,iterative,auto,warm,1,0.9,110,0.8,0.1,fixed,10000,5995,20101,11.535213365001255,1.0016164599946933,10.533596905006561,309.0
26,once,auto,cold,1,,110,0.8,0.1,fixed,100000,5995,863281,663.0405144480028,620.6172997829999,42.42321466500289,314.99999999998926
26,iterative,auto,warm,1,0.5,110,0.8,0.1,fixed,100000,5995,94682,206.9835948500113,192.9588605910103,14.02473425900098,315.0
27,once,auto,cold,1,,110,0.8,0.1,fixed,1000000,5995,863281,566.8983427720086,525.6830203330028,41.21532243900583,333.000000000019
28,once,auto,cold,1,,110,0.8,0.2,fixed,1000,5995,863281,868.9659873019991,827.871293165008,41.094694136991166,600.0000000000438
28,iterative,auto,warm,0.01,,110,0.8,0.2,fixed,1000,5995,6101,14.823796780008706,0.37810052902204916,14.445696250986657,600.0
28,iterative,auto,warm,0.1,,110,0.8,0.2,fixed,1000,5995,6101,13.399452124998788,0.3686883179907454,13.030763807008043,600.0
28,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,1000,5995,7101,16.397034687004634,3.4443184420233592,12.952716244981275,600.0
28,iterative,auto,warm,1,0.9,110,0.8,0.2,fixed,1000,5995,7835,17.61070325601031,4.847673077980289,12.763030178030021,600.0
29,once,auto,cold,1,,110,0.8,0.2,fixed,10000,5995,863281,1041.8785179250117,999.6840079039976,42.19451002101414,602.0000000000198
29,iterative,auto,warm,0.1,,110,0.8,0.2,fixed,10000,5995,11171,12.801743959993473,0.38597396001568995,12.415769999977783,602.0
29,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,10000,5995,10529,9.26730955101084,0.21158124999783468,9.055728301013005,602.0
29,iterative,auto,warm,1,0.9,110,0.8,0.2,fixed,10000,5995,10743,9.733486836994416,0.3012418510043062,9.43224498599011,602.0
30,once,auto,cold,1,,110,0.8,0.2,fixed,100000,5995,863281,1031.2934587970085,988.9403568570124,42.35310193999612,616.9999999999985
30,iterative,auto,warm,1,0.5,110,0.8,0.2,fixed,100000,5995,87373,389.02176626799337,375.4359305550024,13.585835712990956,617.0000000000022
31,once,auto,cold,1,,110,0.8,0.2,fixed,1000000,5995,863281,1188.4296628360025,1145.7492870970018,42.68037573900074,643.9999999999882
32,once,auto,cold,1,,110,0.5,0.1,fixed,1000,5995,863281,1687.3541942620068,1646.7156383809925,40.63855588101433,303.9999999999972
32,iterative,auto,warm,0.01,,110,0.5,0.1,fixed,1000,5995,10529,181.74481232700055,163.7565635519859,17.988248775014654,304.0000000000043
32,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,1000,5995,9101,68.2255778490071,53.266312203981215,14.95926564502588,303.99999999999926
32,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,1000,5995,9593,110.40281065199815,93.15218815399567,17.250622498002485,304.0000000000003
32,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,1000,5995,10374,108.62249337800313,90.60047278998536,18.022020588017767,303.99999999999744
33,once,auto,cold,1,,110,0.5,0.1,fixed,10000,5995,863281,1557.8938085150003,1516.1904251749947,41.70338334000553,288.99999999999653
33,iterative,auto,warm,0.1,,110,0.5,0.1,fixed,10000,5995,20315,53.06504573499842,41.705241530013154,11.359804204985267,288.99999999999704
33,iterative,auto,warm,1,0.5,110,0.5,0.1,fixed,10000,5995,25202,50.93881081399741,37.977115303016035,12.961695510981372,288.999999999998
33,iterative,auto,warm,1,0.9,110,0.5,0.1,fixed,10000,5995,24707,45.106761917995755,29.911019876002683,15.195742041993071,289.0
