solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,min_order,min_proportion,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,120,0.5,0.1,fixed,3000,0,1,7140,1123361,2994.230429425,2935.566865613,58.663563811999666,333.00000000000585
0,iterative,dual,warm,120,0.5,0.1,fixed,3000,0,0.01,7140,335923,565.934502648,90.59808345199917,475.33641919600086,333.0000000000019
1,once,auto,cold,120,0.5,0.1,fixed,3000,1,1,7140,1123361,2810.168981953,2752.0867618590005,58.082220093999695,358.00000000001256
1,iterative,dual,warm,120,0.5,0.1,fixed,3000,1,0.1,7140,324921,573.4527488849999,119.40447595700152,454.04827292799837,358.0000000000001
2,once,auto,cold,120,0.5,0.1,fixed,3000,2,1,7140,1123361,2717.327781821001,2656.34667937,60.98110245100088,333.0000000000024
2,iterative,dual,warm,120,0.5,0.1,fixed,3000,2,1,7140,392116,2590.271795146,159.90709241499462,2430.3647027310053,332.999999999999
3,once,auto,cold,120,0.5,0.1,fixed,10000,0,1,7140,1123361,2404.895355253,2343.6693770599995,61.22597819300063,366.99999999993133
3,iterative,dual,warm,120,0.5,0.1,fixed,10000,0,0.01,7140,412467,406.0448436279985,128.69221928699517,277.3526243410033,367.0000000000007
4,once,auto,cold,120,0.5,0.1,fixed,10000,1,1,7140,1123361,2723.475769530998,2668.344962826999,55.13080670399904,369.99999999999517
4,iterative,dual,warm,120,0.5,0.1,fixed,10000,1,0.1,7140,412708,386.69945049599846,118.683018627009,268.01643186898946,370.00000000001165
5,once,auto,cold,120,0.5,0.1,fixed,10000,2,1,7140,1123361,3042.198077076002,2981.984482869,60.213594207001734,393.00000000009015
5,iterative,dual,warm,120,0.5,0.1,fixed,10000,2,1,7140,415577,870.3011939059979,109.15054022700133,761.1506536789966,392.99999999998886
6,once,auto,cold,120,0.5,0.1,fixed,30000,0,1,7140,1123361,3318.892146757,3257.801927182998,61.09021957400182,378.0000000000142
6,iterative,dual,warm,120,0.5,0.1,fixed,30000,0,0.1,7140,415361,456.092730155,178.15586742098458,277.93686273401545,377.9999999999998
7,once,auto,cold,120,0.5,0.1,fixed,30000,1,1,7140,1123361,3070.7658607830017,3014.6330393319986,56.13282145100311,392.00000000000404
7,iterative,dual,warm,120,0.5,0.1,fixed,30000,1,1,7140,419875,463.5110349469978,164.75298865500008,298.75804629199774,391.99999999999784
8,once,auto,cold,120,0.5,0.1,fixed,100000,0,1,7140,1123361,2522.1294577219996,2459.7523436120027,62.37711410999691,349.9999999999582
8,iterative,dual,warm,120,0.5,0.1,fixed,100000,0,0.1,7140,584229,3471.664926071997,3318.1133198530006,153.5516062189963,349.99999999998727
9,once,auto,cold,120,0.5,0.1,fixed,100000,1,1,7140,1123361,2859.5446016399947,2799.347201614997,60.19740002499748,324.9999999999988
9,iterative,dual,warm,120,0.5,0.1,fixed,100000,1,1,7140,610966,2202.694495841999,2052.9784535890067,149.71604225299234,324.99999999999477
10,once,auto,cold,120,0.5,0.1,fixed,300000,0,1,7140,1123361,2780.804408519005,2722.2937841950043,58.51062432400067,345.9999999999981
10,iterative,dual,warm,120,0.5,0.1,fixed,300000,0,1,7140,623651,2260.503953240004,2150.503801733008,110.00015150699619,346.00000000002933
11,once,auto,cold,120,0.5,0.2,fixed,3000,0,1,7140,1123361,5513.030274582998,5453.973165170006,59.05710941299185,755.0000000000105
11,iterative,dual,warm,120,0.5,0.2,fixed,3000,0,0.01,7140,434157,2382.27018693,1944.5472572960498,437.7229296339501,755.0000000000081
12,once,auto,cold,120,0.5,0.2,fixed,3000,1,1,7140,1123361,5246.097019828005,5185.707896565,60.389123263004876,739.000000000003
12,iterative,dual,warm,120,0.5,0.2,fixed,3000,1,0.1,7140,494578,2891.001818288998,2383.2068803020666,507.7949379869315,738.9999999999688
