solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,act_tol,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,iterative,auto,warm,1,0.0,0.0,100,0.5,0.2,fixed,1000,4950,11101,353.91622202800005,330.21908663600004,23.69713539199995,467.99999999999915
0,iterative,auto,warm,1,0.0,0.125,100,0.5,0.2,fixed,1000,4950,7712,189.0845043740001,153.4815992389999,35.602905135000135,467.99999999999704
0,iterative,auto,warm,1,0.0,0.1,100,0.5,0.2,fixed,1000,4950,6547,189.46639683400002,153.22229077299994,36.244106061000025,468.0000000000006
0,iterative,auto,warm,1,0.0,0.075,100,0.5,0.2,fixed,1000,4950,6219,179.61240907200002,140.88659846600012,38.72581060599987,468.00000000000085
0,iterative,auto,warm,1,0.0,0.05,100,0.5,0.2,fixed,1000,4950,6460,187.5073671490001,148.35383858700027,39.153528561999785,468.0000000000024
0,iterative,auto,warm,1,0.0,0.01,100,0.5,0.2,fixed,1000,4950,5650,190.407344126,149.10616085299895,41.301183273001016,467.9999999999968
0,iterative,auto,warm,1,0.0,0.001,100,0.5,0.2,fixed,1000,4950,6283,183.3206154200002,140.3170187870005,43.00359663299969,468.00000000000136
0,iterative,auto,warm,1,0.0,0.0001,100,0.5,0.2,fixed,1000,4950,6256,187.80894176799984,144.266195319,43.54274644899988,467.99999999999864
0,iterative,auto,warm,1,0.0,1e-05,100,0.5,0.2,fixed,1000,4950,5328,197.215863057,150.42780299199967,46.788060065000316,467.9999999999978
1,iterative,auto,warm,1,0.0,0.0,100,0.5,0.2,fixed,1000,4950,11101,376.9210857350001,350.08842458399977,26.83266115100037,472.00000000000216
1,iterative,auto,warm,1,0.0,0.125,100,0.5,0.2,fixed,1000,4950,7337,199.05464210699986,161.0238304699997,38.03081163700017,472.00000000000006
1,iterative,auto,warm,1,0.0,0.1,100,0.5,0.2,fixed,1000,4950,6503,200.43921260799968,159.5496236429985,40.889588965001174,472.000000000004
1,iterative,auto,warm,1,0.0,0.075,100,0.5,0.2,fixed,1000,4950,5841,193.840777462,154.92256163900083,38.91821582299917,472.00000000000017
1,iterative,auto,warm,1,0.0,0.05,100,0.5,0.2,fixed,1000,4950,6620,201.123334466,155.6406988469989,45.48263561900104,472.00000000000153
1,iterative,auto,warm,1,0.0,0.01,100,0.5,0.2,fixed,1000,4950,5341,188.76378557200002,143.08636331099888,45.67742226100109,472.0000000000016
1,iterative,auto,warm,1,0.0,0.001,100,0.5,0.2,fixed,1000,4950,6274,190.48269579899986,142.1020300369978,48.380665762002074,471.99999999999903
1,iterative,auto,warm,1,0.0,0.0001,100,0.5,0.2,fixed,1000,4950,5647,190.28759744299987,141.67629273299963,48.61130471000024,472.00000000000153
1,iterative,auto,warm,1,0.0,1e-05,100,0.5,0.2,fixed,1000,4950,5306,188.298746123,141.84325129999982,46.45549482300021,472.0000000000013
2,iterative,auto,warm,1,0.0,0.0,100,0.5,0.2,fixed,1000,4950,12101,569.3117674210002,541.1834127260004,28.12835469499987,509.0000000000003
2,iterative,auto,warm,1,0.0,0.125,100,0.5,0.2,fixed,1000,4950,6802,333.09263382400064,286.09648351600026,46.99615030800032,508.9999999999968
2,iterative,auto,warm,1,0.0,0.1,100,0.5,0.2,fixed,1000,4950,6820,323.7089256680001,276.2720737360005,47.436851931999634,509.00000000000017
2,iterative,auto,warm,1,0.0,0.075,100,0.5,0.2,fixed,1000,4950,6813,331.97813008400044,281.6319200630005,50.346210020999926,508.999999999998
2,iterative,auto,warm,1,0.0,0.05,100,0.5,0.2,fixed,1000,4950,6750,327.2468756469998,275.0802589289988,52.16661671800102,509.00000000000193
2,iterative,auto,warm,1,0.0,0.01,100,0.5,0.2,fixed,1000,4950,6616,338.9497046329998,282.43512273799837,56.51458189500136,509.000000000004
2,iterative,auto,warm,1,0.0,0.001,100,0.5,0.2,fixed,1000,4950,6529,325.61258911300047,271.4643680840054,54.14822102899507,508.99999999999926
2,iterative,auto,warm,1,0.0,0.0001,100,0.5,0.2,fixed,1000,4950,6533,329.9399187879999,275.1801605389983,54.75975824900161,508.99999999999807
2,iterative,auto,warm,1,0.0,1e-05,100,0.5,0.2,fixed,1000,4950,6128,326.8791951620005,269.87397672299716,57.00521843900332,509.00000000000085
3,iterative,auto,warm,1,0.0,0.0,100,0.5,0.2,fixed,1000,4950,12880,682.9432962899991,652.7308681659997,30.212428123999416,523.0000000000026
3,iterative,auto,warm,1,0.0,0.125,100,0.5,0.2,fixed,1000,4950,6508,413.85560419800004,359.7732046120009,54.082399585999156,522.9999999999977
3,iterative,auto,warm,1,0.0,0.1,100,0.5,0.2,fixed,1000,4950,6453,417.4810924029998,361.4163501110006,56.06474229199921,522.9999999999987
3,iterative,auto,warm,1,0.0,0.075,100,0.5,0.2,fixed,1000,4950,6175,406.14074507300035,349.0749423260058,57.06580274699446,522.9999999999986
3,iterative,auto,warm,1,0.0,0.05,100,0.5,0.2,fixed,1000,4950,6076,415.10388351999967,352.78151126799463,62.322372252005145,522.9999999999993
3,iterative,auto,warm,1,0.0,0.01,100,0.5,0.2,fixed,1000,4950,6660,407.9862943410008,350.93679656900525,57.04949777199545,522.9999999999978
3,iterative,auto,warm,1,0.0,0.001,100,0.5,0.2,fixed,1000,4950,5712,414.21519585299933,356.6559791590007,57.55921669399868,522.9999999999989
3,iterative,auto,warm,1,0.0,0.0001,100,0.5,0.2,fixed,1000,4950,6081,416.70559390299974,356.9124508420009,59.79314306099877,523.0000000000024
3,iterative,auto,warm,1,0.0,1e-05,100,0.5,0.2,fixed,1000,4950,5682,417.2928583449992,357.23000414399394,60.06285420100539,523.0000000000018
4,iterative,auto,warm,1,0.0,0.0,100,0.5,0.2,fixed,1000,4950,13101,651.947687965001,624.1562144300024,27.79147353499866,491.00000000000017
4,iterative,auto,warm,1,0.0,0.125,100,0.5,0.2,fixed,1000,4950,6180,421.4877244519994,373.85129267700364,47.63643177499579,490.9999999999974
4,iterative,auto,warm,1,0.0,0.1,100,0.5,0.2,fixed,1000,4950,6298,446.6931303780002,391.6627573130081,55.03037306499209,490.9999999999984
4,iterative,auto,warm,1,0.0,0.075,100,0.5,0.2,fixed,1000,4950,6966,432.46723515099984,377.78032405300837,54.68691109799147,490.9999999999985
4,iterative,auto,warm,1,0.0,0.05,100,0.5,0.2,fixed,1000,4950,5929,444.8906161289997,386.46357710000296,58.42703902899666,490.99999999999983
4,iterative,auto,warm,1,0.0,0.01,100,0.5,0.2,fixed,1000,4950,6684,468.4915744890004,401.2960252839985,67.19554920500195,491.0000000000007
4,iterative,auto,warm,1,0.0,0.001,100,0.5,0.2,fixed,1000,4950,6307,462.55091660800105,390.8767575619949,71.67415904600603,491.00000000000205
4,iterative,auto,warm,1,0.0,0.0001,100,0.5,0.2,fixed,1000,4950,6443,452.03890416899964,382.254168653004,69.78473551599564,491.00000000000114
