solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
0,iterative,auto,warm,1,0.0,True,11,100,0.5,0.2,fixed,1000,1000,1000,787.0,1,,4950,3643,1.7650161130000015,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,12,100,0.5,0.2,fixed,1000,1000,1000,825.0,1,,4950,3818,2.3352438199999987,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,13,100,0.5,0.2,fixed,1000,1000,1000,841.0,1,,4950,3977,3.9015904469999967,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,14,100,0.5,0.2,fixed,1000,1000,1000,816.0,1,,4950,4161,6.454869119000001,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,15,100,0.5,0.2,fixed,1000,1000,1000,849.0,1,,4950,4312,8.269663213999998,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,16,100,0.5,0.2,fixed,1000,1000,1000,868.0,1,,4950,4444,10.798590134999998,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,17,100,0.5,0.2,fixed,1000,1000,1000,826.0,1,,4950,4618,14.237622005000004,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,18,100,0.5,0.2,fixed,1000,1000,1000,877.0,1,,4950,4741,15.542806298999992,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,19,100,0.5,0.2,fixed,1000,1000,1000,891.0,1,,4950,4850,17.902986745999996,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,20,100,0.5,0.2,fixed,1000,1000,1000,936.0,1,,4950,4914,20.331895325999998,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,21,100,0.5,0.2,fixed,1000,1000,1000,895.0,1,,4950,5019,23.05629033599999,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,22,100,0.5,0.2,fixed,1000,1000,1000,947.0,1,,4950,5072,25.08044727999999,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,23,100,0.5,0.2,fixed,1000,1000,1000,952.0,1,,4950,5120,24.528613185999998,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,24,100,0.5,0.2,fixed,1000,1000,1000,942.0,1,,4950,5178,26.37160297599999,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,25,100,0.5,0.2,fixed,1000,1000,1000,1010.0,1,,4950,5168,24.60702223500005,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,26,100,0.5,0.2,fixed,1000,1000,1000,963.0,1,,4950,5205,22.115668626999987,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,27,100,0.5,0.2,fixed,1000,1000,1000,1039.0,1,,4950,5166,20.54812064200001,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,28,100,0.5,0.2,fixed,1000,1000,1000,997.0,1,,4950,5169,20.134113685999978,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,29,100,0.5,0.2,fixed,1000,1000,1000,923.0,1,,4950,5246,20.546863527000028,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,30,100,0.5,0.2,fixed,1000,1000,1000,902.0,1,,4950,5344,20.95012316700001,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,31,100,0.5,0.2,fixed,1000,1000,1000,950.0,1,,4950,5394,21.434987525,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,32,100,0.5,0.2,fixed,1000,1000,194,885.0,1,,4950,4703,18.769953649,0.0001,dual_0_once
0,iterative,auto,warm,1,0.0,True,33,100,0.5,0.2,fixed,1000,1000,380,209.0,1,,4950,4874,0.030900322999968918,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,100,100,0.0,1,,4950,101,0.010607559999982641,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,1,100,0.5,0.2,fixed,1000,1000,1000,100.0,1,,4950,1001,0.040894443000013325,0.0001,dual_0_once
1,iterative,auto,warm,1,0.0,True,2,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.03328295000000025,0.0001,dual_0_once
