solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,1,,40,0.5,0.1,fixed,10,780,39521,10.820900387,9.069498981,1.7514014059999994,39.000000000011276
0,iterative,auto,warm,0.01,,40,0.5,0.1,fixed,10,780,931,3.0112473379999987,1.3537679399999956,1.657479398000003,39.0
0,iterative,auto,warm,0.1,,40,0.5,0.1,fixed,10,780,881,4.278631457000003,1.1183278940000108,3.1603035629999923,39.00000000000009
0,iterative,auto,warm,1,0.5,40,0.5,0.1,fixed,10,780,972,3.680526896,1.6897481340000056,1.9907787619999944,39.00000000000001
0,iterative,auto,warm,1,0.9,40,0.5,0.1,fixed,10,780,994,3.7277557670000014,1.7137433439999796,2.014012423000022,39.00000000000004
1,once,auto,cold,1,,40,0.5,0.1,fixed,100,780,39521,10.949150150000001,9.153815027000004,1.7953351229999974,44.9999999999999
1,iterative,auto,warm,0.01,,40,0.5,0.1,fixed,100,780,1101,1.323857345999997,0.3838389220000096,0.9400184239999874,45.00000000000002
1,iterative,auto,warm,0.1,,40,0.5,0.1,fixed,100,780,1075,1.117476656000001,0.35042910500001057,0.7670475509999903,44.999999999999986
1,iterative,auto,warm,1,0.5,40,0.5,0.1,fixed,100,780,1101,1.1398703119999993,0.39645063399999003,0.7434196780000093,45.0
1,iterative,auto,warm,1,0.9,40,0.5,0.1,fixed,100,780,1126,1.3902095520000017,0.5283863820000008,0.861823170000001,45.0
2,once,auto,cold,1,,40,0.5,0.2,fixed,10,780,39521,10.527610604000003,8.751047450000002,1.7765631540000015,77.90434782608695
2,iterative,auto,warm,0.01,,40,0.5,0.2,fixed,10,780,2001,12.637630971,9.359665614000008,3.2779653569999923,77.90434782608695
2,iterative,auto,warm,0.1,,40,0.5,0.2,fixed,10,780,1699,13.829784857000007,7.2654294150000425,6.564355441999965,77.90434782608686
2,iterative,auto,warm,1,0.5,40,0.5,0.2,fixed,10,780,2336,18.770540214999997,12.909022705000098,5.861517509999899,77.90434782608673
2,iterative,auto,warm,1,0.9,40,0.5,0.2,fixed,10,780,1872,15.64025933100001,9.551101585999874,6.089157745000136,77.90434782608692
3,once,auto,cold,1,,40,0.5,0.2,fixed,100,780,39521,16.97727019700001,15.238567438999993,1.7387027580000165,73.99999999999999
3,iterative,auto,warm,0.01,,40,0.5,0.2,fixed,100,780,1501,3.1927770700000053,2.10377227099994,1.0890047990000653,74.00000000000028
3,iterative,auto,warm,0.1,,40,0.5,0.2,fixed,100,780,1501,2.998286688999997,2.1127054350000662,0.8855812539999306,73.99999999999957
3,iterative,auto,warm,1,0.5,40,0.5,0.2,fixed,100,780,1580,3.1579752170000006,2.1287404669999717,1.029234750000029,73.99999999999879
3,iterative,auto,warm,1,0.9,40,0.5,0.2,fixed,100,780,1416,3.26557575999999,1.9736257269999555,1.2919500330000346,73.99999999999925
4,once,auto,cold,1,,40,0.8,0.1,fixed,10,780,39521,8.441741059999998,6.687321327999996,1.7544197320000023,47.0
4,iterative,auto,warm,0.01,,40,0.8,0.1,fixed,10,780,441,1.0218583989999956,0.05898290900003644,0.9628754899999592,47.0
4,iterative,auto,warm,0.1,,40,0.8,0.1,fixed,10,780,431,1.6147654850000208,0.05949152799990998,1.5552739570001108,47.0
4,iterative,auto,warm,1,0.5,40,0.8,0.1,fixed,10,780,511,1.0008218490000047,0.11828935400001228,0.8825324949999924,47.0
4,iterative,auto,warm,1,0.9,40,0.8,0.1,fixed,10,780,511,0.9935043629999996,0.1133626779999588,0.8801416850000408,47.0
5,once,auto,cold,1,,40,0.8,0.1,fixed,100,780,39521,8.394675659,6.644593686999997,1.7500819720000038,58.00000000000012
5,iterative,auto,warm,0.01,,40,0.8,0.1,fixed,100,780,701,0.8000867169999992,0.025554322999994383,0.7745323940000048,58.0
5,iterative,auto,warm,0.1,,40,0.8,0.1,fixed,100,780,601,0.601196090000002,0.020099247999979752,0.5810968420000222,58.0
5,iterative,auto,warm,1,0.5,40,0.8,0.1,fixed,100,780,701,0.5780932540000094,0.03358365799996932,0.5445095960000401,58.0
5,iterative,auto,warm,1,0.9,40,0.8,0.1,fixed,100,780,701,0.5829804859999967,0.024766185999965273,0.5582143000000315,58.0
6,once,auto,cold,1,,40,0.8,0.2,fixed,10,780,39521,10.788479297999999,9.038824151,1.7496551469999986,81.00000000000004
6,iterative,auto,warm,0.01,,40,0.8,0.2,fixed,10,780,551,1.3006252099999926,0.1503432929999633,1.1502819170000294,81.0
