solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,min_order,min_proportion,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,dual,cold,130,0.5,0.1,fixed,1000,3,1,8385,1431041,1072.571394625,1000.8165514729999,71.75484315200015,461.0000000000085
0,iterative,dual,warm,130,0.5,0.1,fixed,1000,3,1,8385,13101,669.1069609000001,310.02086740999994,359.08609349000017,460.9999999999872
1,once,dual,cold,130,0.5,0.1,fixed,1000,2,1,8385,1431041,1003.9048068509999,927.6378135860002,76.26699326499966,431.99999999997095
1,iterative,dual,warm,130,0.5,0.1,fixed,1000,2,0.1,8385,12101,248.94625400699988,152.00235949699936,96.94389451000052,432.0000000000029
2,once,dual,cold,130,0.5,0.1,fixed,1000,1,1,8385,1431041,1227.8578451600001,1153.9291754899996,73.92866967000055,450.0000000000139
2,iterative,dual,warm,130,0.5,0.1,fixed,1000,1,0.01,8385,13609,600.5034061429997,500.45886192400303,100.04454421899663,449.999999999999
3,once,dual,cold,130,0.5,0.1,fixed,1000,0,1,8385,1431041,1197.1034048069996,1126.4045926569997,70.69881214999987,409.9999999999891
3,iterative,dual,warm,130,0.5,0.1,fixed,1000,0,0.001,8385,12101,325.35697004599933,252.12682555200172,73.23014449399761,410.00000000000284
4,once,dual,cold,130,0.5,0.1,fixed,3000,2,1,8385,1431041,942.5135435530001,872.0563051240006,70.45723842899952,385.9999999999737
4,iterative,dual,warm,130,0.5,0.1,fixed,3000,2,1,8385,18101,295.7718371969995,114.07718408699839,181.69465311000113,385.99999999999875
5,once,dual,cold,130,0.5,0.1,fixed,3000,1,1,8385,1431041,971.3214910360002,896.0535617329988,75.26792930300144,424.9999999998315
5,iterative,dual,warm,130,0.5,0.1,fixed,3000,1,0.1,8385,18101,204.8865186359999,102.59666790300435,102.28985073299555,425.0000000000073
6,once,dual,cold,130,0.5,0.1,fixed,3000,0,1,8385,1431041,1248.4884753980004,1176.6452501189997,71.84322527900076,401.0000000000127
6,iterative,dual,warm,130,0.5,0.1,fixed,3000,0,0.01,8385,18101,172.4766976589999,91.1213287920018,81.3553688669981,400.9999999999883
7,once,dual,cold,130,0.5,0.1,fixed,10000,2,1,8385,1431041,1129.2036293290003,1059.8089444630004,69.3946848659998,423.99999999997135
7,iterative,dual,warm,130,0.5,0.1,fixed,10000,2,1,8385,30101,250.02344107499994,142.85839250000026,107.16504857499967,424.0000000000006
8,once,dual,cold,130,0.5,0.1,fixed,10000,1,1,8385,1431041,945.6840018880011,872.810614648999,72.87338723900211,426.0000000000062
8,iterative,dual,warm,130,0.5,0.1,fixed,10000,1,0.1,8385,30101,172.51740068599975,105.48660940800073,67.03079127799901,425.9999999999961
9,once,dual,cold,130,0.5,0.1,fixed,10000,0,1,8385,1431041,1015.7891274209996,943.555500462,72.2336269589996,402.00000000000716
9,iterative,dual,warm,130,0.5,0.1,fixed,10000,0,0.01,8385,30861,284.2977657619995,185.31692800100063,98.98083776099884,401.9999999999922
10,once,dual,cold,130,0.5,0.1,fixed,30000,1,1,8385,1431041,1032.8183916579983,959.3241599489993,73.494231708999,428.9999999999894
10,iterative,dual,warm,130,0.5,0.1,fixed,30000,1,1,8385,60101,255.13149992200124,175.23019479400136,79.90130512799988,429.0000000000036
11,once,dual,cold,130,0.5,0.1,fixed,30000,0,1,8385,1431041,950.8824607679999,880.1331668629991,70.74929390500074,422.99999999999903
11,iterative,dual,warm,130,0.5,0.1,fixed,30000,0,0.1,8385,60857,442.32438606100004,325.7776080959975,116.54677796500255,423.00000000000136
12,once,dual,cold,130,0.5,0.1,fixed,100000,1,1,8385,1431041,1049.896242674,979.6546018730005,70.24164080099945,421.9999999999734
12,iterative,dual,warm,130,0.5,0.1,fixed,100000,1,1,8385,201818,4965.456311725,4859.2560903019985,106.2002214230015,422.00000000000125
13,once,dual,cold,130,0.5,0.1,fixed,100000,0,1,8385,1431041,1295.522068287999,1223.6404065669994,71.88166172099955,431.0000000000009
13,iterative,dual,warm,130,0.5,0.1,fixed,100000,0,0.1,8385,197330,1907.9672418369992,1815.0054712890014,92.96177054799773,431.00000000000085
14,once,dual,cold,130,0.5,0.1,fixed,300000,0,1,8385,1431041,996.485329080002,922.6005638529969,73.88476522700512,404.9999999999788
14,iterative,dual,warm,130,0.5,0.1,fixed,300000,0,1,8385,251269,1958.6766830860033,1874.6775442239996,83.99913886200375,405.0000000000047
15,once,dual,cold,130,0.5,0.2,fixed,1000,3,1,8385,1431041,4936.764308775997,4862.024820744999,74.73948803099847,839.9999999999926
15,iterative,dual,warm,130,0.5,0.2,fixed,1000,3,1,8385,17101,3365.236983513998,2900.538601465996,464.6983820480018,839.9999999999972
16,once,dual,cold,130,0.5,0.2,fixed,1000,2,1,8385,1431041,5780.208065654006,5706.283309981001,73.92475567300426,840.9999999999766
16,iterative,dual,warm,130,0.5,0.2,fixed,1000,2,0.1,8385,18609,4447.863536160003,4327.26926083101,120.59427532899281,841.000000000002
17,once,dual,cold,130,0.5,0.2,fixed,1000,1,1,8385,1431041,3481.587893158001,3411.2021410880043,70.38575206999667,789.0000000000347
17,iterative,dual,warm,130,0.5,0.2,fixed,1000,1,0.01,8385,18355,3904.1731251080055,3830.6091313449942,73.56399376301124,789.0000000000026
18,once,dual,cold,130,0.5,0.2,fixed,1000,0,1,8385,1431041,4675.545298491001,4597.701917896004,77.84338059499714,846.0000000000613
18,iterative,dual,warm,130,0.5,0.2,fixed,1000,0,0.001,8385,21101,5649.6391533330025,5588.812793880992,60.826359452010365,845.9999999999972
19,once,dual,cold,130,0.5,0.2,fixed,3000,2,1,8385,1431041,6421.443046497996,6343.351066771007,78.09197972698894,859.999999999997
19,iterative,dual,warm,130,0.5,0.2,fixed,3000,2,1,8385,24101,3813.0657222370064,3578.4256295189844,234.64009271802206,860.0000000000009
20,once,dual,cold,130,0.5,0.2,fixed,3000,1,1,8385,1431041,5152.831171041995,5077.093412303002,75.73775873899285,850.0000000000449
20,iterative,dual,warm,130,0.5,0.2,fixed,3000,1,0.1,8385,24101,2844.4429801590013,2784.3400689180417,60.102911240959656,850.0000000000047
21,once,dual,cold,130,0.5,0.2,fixed,3000,0,1,8385,1431041,6133.901108232007,6065.866603757997,68.03450447400974,858.9999999999746
21,iterative,dual,warm,130,0.5,0.2,fixed,3000,0,0.01,8385,24101,3751.507588595996,3689.8273040220083,61.68028457398759,859.0000000000052
22,once,dual,cold,130,0.5,0.2,fixed,10000,2,1,8385,1431041,6284.558424044008,6212.725169027006,71.83325501700165,861.0000000000441
22,iterative,dual,warm,130,0.5,0.2,fixed,10000,2,1,8385,41287,3522.761583140993,3365.452057758026,157.30952538296697,861.0000000000048
23,once,dual,cold,130,0.5,0.2,fixed,10000,1,1,8385,1431041,5316.864666452006,5246.306335418005,70.55833103400073,873.0000000000038
23,iterative,dual,warm,130,0.5,0.2,fixed,10000,1,0.1,8385,30355,3339.708397194001,3269.0647367049824,70.64366048901866,873.0000000000001
24,once,dual,cold,130,0.5,0.2,fixed,10000,0,1,8385,1431041,4699.102288668,4626.810064984005,72.29222368399496,847.999999999988
24,iterative,dual,warm,130,0.5,0.2,fixed,10000,0,0.01,8385,30229,2655.228572316002,2580.723314463001,74.50525785300124,848.0000000000057
25,once,dual,cold,130,0.5,0.2,fixed,30000,1,1,8385,1431041,6204.242087527993,6132.855993808,71.38609371999337,844.0000000000334
25,iterative,dual,warm,130,0.5,0.2,fixed,30000,1,1,8385,61123,2546.677075929998,2438.85924616798,107.81782976201794,843.9999999999998
26,once,dual,cold,130,0.5,0.2,fixed,30000,0,1,8385,1431041,4823.280723532007,4752.586255130009,70.69446840199817,861.0000000000064
26,iterative,dual,warm,130,0.5,0.2,fixed,30000,0,0.1,8385,60733,2166.949728208012,2050.1567580069823,116.79297020102968,861.0000000000038
27,once,dual,cold,130,0.5,0.2,fixed,100000,1,1,8385,1431041,4748.1646251649945,4672.512799676013,75.65182548898156,871.9999999999803
27,iterative,dual,warm,130,0.5,0.2,fixed,100000,1,1,8385,200867,5765.504183155979,5660.7257744969975,104.77840865898179,872.0000000000169
28,once,dual,cold,130,0.5,0.2,fixed,100000,0,1,8385,1431041,4705.005351119005,4631.484056589979,73.52129452902591,827.9999999999462
28,iterative,dual,warm,130,0.5,0.2,fixed,100000,0,0.1,8385,201121,5555.420453393017,5439.117259249964,116.30319414305268,828.0000000000005
29,once,dual,cold,130,0.5,0.2,fixed,300000,0,1,8385,1431041,4671.796594448009,4597.6403542390035,74.15624020900577,831.9999999999902
29,iterative,dual,warm,130,0.5,0.2,fixed,300000,0,1,8385,245558,8604.476176117983,8500.334007644007,104.1421684739762,832.0000000000152
30,once,dual,cold,130,0.8,0.1,fixed,1000,3,1,8385,1431041,328.3061456090072,251.95478888999787,76.35135671900935,428.00000000000307
