solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
33,once,auto,cold,1,,0,10,0.5,0.1,fixed,100,480,480,1,,45,481,0.006330010000000108
33,iterative,auto,warm,1,,0,10,0.5,0.1,fixed,100,100,100,1,,45,101,0.00152808300000018
33,iterative,auto,warm,1,,1,10,0.5,0.1,fixed,100,100,80,1,,45,181,0.002699459999999654
33,iterative,auto,warm,1,,2,10,0.5,0.1,fixed,100,100,27,1,,45,208,0.0011147160000000156
