solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,dual,cold,40,0.5,0.1,fixed,10,780,39521,21.299398187999998,19.612516945,1.6868812429999984,35.0
0,iterative,dual,warm,40,0.5,0.1,fixed,10,780,1391,98.80814659500001,9.174141433999996,89.63400516100002,35.0
0,iterative,dual,cold,40,0.5,0.1,fixed,10,780,2329,153.517736859,1.652522030000128,151.86521482899985,35.0
0,once,auto,cold,40,0.5,0.1,fixed,10,780,39521,12.837013670999966,11.147659202,1.6893544689999658,34.99999999999999
0,iterative,auto,warm,40,0.5,0.1,fixed,10,780,1421,102.640016371,10.549959675000423,92.09005669599958,35.0
0,iterative,auto,cold,40,0.5,0.1,fixed,10,780,5128,332.84938715,2.7454639249995694,330.1039232250004,34.99999999999999
1,once,dual,cold,40,0.5,0.1,fixed,30,780,39521,24.684618677000003,23.018754692000016,1.6658639849999872,41.00000000000069
1,iterative,dual,warm,40,0.5,0.1,fixed,30,780,1631,40.95391483100002,5.010747379000236,35.943167451999784,41.0
1,iterative,dual,cold,40,0.5,0.1,fixed,30,780,6074,133.08324676899997,1.6208650329989496,131.46238173600102,41.0
1,once,auto,cold,40,0.5,0.1,fixed,30,780,39521,10.65052432799996,8.946630261999985,1.7038940659999753,41.00000000000694
1,iterative,auto,warm,40,0.5,0.1,fixed,30,780,1541,38.454078149,4.524831061999748,33.92924708700025,41.0
1,iterative,auto,cold,40,0.5,0.1,fixed,30,780,8670,180.14709873099991,2.2542612370014012,177.8928374939985,40.999999999999986
2,once,dual,cold,40,0.5,0.1,fixed,100,780,39521,21.559250709000025,19.861614534999944,1.6976361740000812,37.99999999999988
2,iterative,dual,warm,40,0.5,0.1,fixed,100,780,2001,16.456874351999886,2.222566712999651,14.234307639000235,38.0
2,iterative,dual,cold,40,0.5,0.1,fixed,100,780,8021,52.91325939800004,1.2229512930005058,51.69030810499953,38.0
2,once,auto,cold,40,0.5,0.1,fixed,100,780,39521,9.038015593000182,7.327320204999978,1.7106953880002038,38.00000000000012
2,iterative,auto,warm,40,0.5,0.1,fixed,100,780,4901,44.53357469100001,11.699218704999566,32.834355986000446,38.0
2,iterative,auto,cold,40,0.5,0.1,fixed,100,780,2001,15.00698264499988,1.0087780809992637,13.998204564000616,38.0
3,once,dual,cold,40,0.5,0.1,fixed,300,780,39521,21.509779092999906,19.844763650000004,1.665015442999902,28.9999999999998
3,iterative,dual,warm,40,0.5,0.1,fixed,300,780,8501,28.606423736000124,9.733684183000378,18.872739552999747,29.0
