solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
37,once,auto,cold,1,,0,50,0.8,0.1,fixed,100,78400,78400,1,,1225,78401,13.727536400999952
37,iterative,auto,warm,1,,0,50,0.8,0.1,fixed,100,100,100,1,,1225,101,0.0047949350000635604
37,iterative,auto,warm,1,,1,50,0.8,0.1,fixed,100,100,100,1,,1225,201,0.0029367469999215245
37,iterative,auto,warm,1,,2,50,0.8,0.1,fixed,100,100,100,1,,1225,301,0.0031303119999392948
37,iterative,auto,warm,1,,3,50,0.8,0.1,fixed,100,100,100,1,,1225,401,0.002934602000095765
37,iterative,auto,warm,1,,4,50,0.8,0.1,fixed,100,100,100,1,,1225,501,0.002752401999941867
37,iterative,auto,warm,1,,5,50,0.8,0.1,fixed,100,100,100,1,,1225,601,0.00441440200006582
37,iterative,auto,warm,1,,6,50,0.8,0.1,fixed,100,100,100,1,,1225,701,0.0025784790000216162
37,iterative,auto,warm,1,,7,50,0.8,0.1,fixed,100,100,100,1,,1225,801,0.008622330999969563
37,iterative,auto,warm,1,,8,50,0.8,0.1,fixed,100,100,100,1,,1225,901,0.002167287000020224
