solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
1,iterative,auto,warm,1,0.0,True,0.1,2,20,0.5,0.2,fixed,1000,1000,335,366,1,,190,568,0.005406268000000214
1,iterative,auto,warm,1,0.0,True,0.3,0,20,0.5,0.2,fixed,1000,100,100,49,1,,190,101,0.0018738400000000157
1,iterative,auto,warm,1,0.0,True,0.3,1,20,0.5,0.2,fixed,1000,1000,530,68,1,,190,563,0.023360767000000227
1,iterative,auto,warm,1,0.0,True,0.3,2,20,0.5,0.2,fixed,1000,1000,294,301,1,,190,556,0.010573031999999928
10,once,auto,cold,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,4560,4560,0,1,,190,4561,0.1882992459999997
10,iterative,auto,warm,1,0.0,False,0.0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.001930385999997952
10,iterative,auto,warm,1,0.0,False,0.0,1,20,0.5,0.2,fixed,1000,1000,528,0,1,,190,629,0.01123818299999968
10,iterative,auto,warm,1,0.0,False,0.0,2,20,0.5,0.2,fixed,1000,1000,52,0,1,,190,681,0.0062441319999990705
10,iterative,auto,warm,1,0.0,False,0.0,3,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,715,0.001553853000000771
10,iterative,auto,warm,1,0.0,False,0.0,4,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,749,0.0014015690000022119
10,iterative,auto,warm,1,0.0,False,0.0,5,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,783,0.018946674000002158
10,iterative,auto,warm,1,0.0,False,0.0,6,20,0.5,0.2,fixed,1000,1000,90,0,1,,190,873,0.007811397000001108
10,iterative,auto,warm,1,0.0,False,0.0,7,20,0.5,0.2,fixed,1000,1000,18,0,1,,190,891,0.005109342000000794
10,iterative,auto,warm,1,0.0,False,0.0,8,20,0.5,0.2,fixed,1000,1000,34,0,1,,190,925,0.002685981999999143
