solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
48,iterative,auto,warm,1,,False,0,0,90,0.5,0.2,fixed,1000,100,100,0,1,,4005,101,0.008323408008436672,0,0,0
48,iterative,auto,warm,1,,False,0,1,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,1101,0.036999044998083264,0,0,0
48,iterative,auto,warm,1,,False,0,2,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,2101,0.04305807400669437,0,0,0
48,iterative,auto,warm,1,,False,0,3,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,3101,0.36754271399695426,0,0,0
48,iterative,auto,warm,1,,False,0,4,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,4101,5.919347843999276,0,0,0
48,iterative,auto,warm,1,,False,0,5,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,5101,18.895935109001584,0,0,0
48,iterative,auto,warm,1,,False,0,6,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,6101,34.860177517999546,0,0,0
48,iterative,auto,warm,1,,False,0,7,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,7101,55.28927631500119,0,0,0
48,iterative,auto,warm,1,,False,0,8,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,8101,69.74115530100244,0,0,0
48,iterative,auto,warm,1,,False,0,9,90,0.5,0.2,fixed,1000,1000,1000,0,1,,4005,9101,8.4917714829935,0,0,0
48,iterative,auto,warm,1,,True,0,0,90,0.5,0.2,fixed,1000,100,100,0,1,,4005,101,0.00816715499968268,0,0,0
48,iterative,auto,warm,1,,True,0,1,90,0.5,0.2,fixed,1000,1000,1000,92,1,,4005,1009,0.03487427700019907,100,92,8
48,iterative,auto,warm,1,,True,0,2,90,0.5,0.2,fixed,1000,1000,1000,137,1,,4005,1872,0.038196858993615024,1008,137,871
48,iterative,auto,warm,1,,True,0,3,90,0.5,0.2,fixed,1000,1000,1000,253,1,,4005,2619,0.09028763299284037,892,253,639
48,iterative,auto,warm,1,,True,0,4,90,0.5,0.2,fixed,1000,1000,1000,486,1,,4005,3133,0.6203265500080306,1281,486,795
48,iterative,auto,warm,1,,True,0,5,90,0.5,0.2,fixed,1000,1000,1000,785,1,,4005,3348,2.9663037069985876,1221,785,436
48,iterative,auto,warm,1,,True,0,6,90,0.5,0.2,fixed,1000,1000,1000,778,1,,4005,3570,4.516893280000659,1036,778,258
48,iterative,auto,warm,1,,True,0,7,90,0.5,0.2,fixed,1000,1000,1000,774,1,,4005,3796,6.7465056579967495,973,774,199
48,iterative,auto,warm,1,,True,0,8,90,0.5,0.2,fixed,1000,1000,1000,814,1,,4005,3982,9.486199089005822,958,814,144
48,iterative,auto,warm,1,,True,0,9,90,0.5,0.2,fixed,1000,1000,1000,847,1,,4005,4135,10.35011872900941,935,847,88
48,iterative,auto,warm,1,,True,0,10,90,0.5,0.2,fixed,1000,1000,1000,870,1,,4005,4265,11.662937590997899,942,870,72
48,iterative,auto,warm,1,,True,0,11,90,0.5,0.2,fixed,1000,1000,1000,905,1,,4005,4360,12.097032041987404,978,905,73
48,iterative,auto,warm,1,,True,0,12,90,0.5,0.2,fixed,1000,1000,1000,893,1,,4005,4467,12.936034143989673,958,893,65
48,iterative,auto,warm,1,,True,0,13,90,0.5,0.2,fixed,1000,1000,1000,969,1,,4005,4498,10.848693834006554,1010,969,41
48,iterative,auto,warm,1,,True,0,14,90,0.5,0.2,fixed,1000,1000,1000,947,1,,4005,4551,6.986206854999182,983,947,36
48,iterative,auto,warm,1,,True,0,15,90,0.5,0.2,fixed,1000,1000,1000,42,1,,4005,5509,0.04875598900252953,1026,42,984
48,iterative,auto,warm,1,,True,0.1,0,90,0.5,0.2,fixed,1000,100,100,0,1,,4005,101,0.0085929170018062,0,0,0
48,iterative,auto,warm,1,,True,0.1,1,90,0.5,0.2,fixed,1000,1000,1000,96,1,,4005,1005,0.03593580699816812,100,96,4
48,iterative,auto,warm,1,,True,0.1,2,90,0.5,0.2,fixed,1000,1000,1000,197,1,,4005,1808,0.06946504999359604,1004,120,884
48,iterative,auto,warm,1,,True,0.1,3,90,0.5,0.2,fixed,1000,1000,1000,303,1,,4005,2505,0.172730728998431,821,238,583
48,iterative,auto,warm,1,,True,0.1,4,90,0.5,0.2,fixed,1000,1000,1000,459,1,,4005,3046,0.5505879669944989,1188,385,803
48,iterative,auto,warm,1,,True,0.1,5,90,0.5,0.2,fixed,1000,1000,1000,847,1,,4005,3199,1.1399199900042731,1462,782,680
48,iterative,auto,warm,1,,True,0.1,6,90,0.5,0.2,fixed,1000,1000,1000,791,1,,4005,3408,1.971890038010315,1106,755,351
48,iterative,auto,warm,1,,True,0.1,7,90,0.5,0.2,fixed,1000,1000,1000,779,1,,4005,3629,4.210931567999069,1031,752,279
48,iterative,auto,warm,1,,True,0.1,8,90,0.5,0.2,fixed,1000,1000,1000,803,1,,4005,3826,7.080626851995476,1000,776,224
48,iterative,auto,warm,1,,True,0.1,9,90,0.5,0.2,fixed,1000,1000,1000,813,1,,4005,4013,9.652160907993675,941,798,143
48,iterative,auto,warm,1,,True,0.1,10,90,0.5,0.2,fixed,1000,1000,1000,835,1,,4005,4178,12.795020742996712,928,828,100
48,iterative,auto,warm,1,,True,0.1,11,90,0.5,0.2,fixed,1000,1000,1000,880,1,,4005,4298,15.984981961999438,966,866,100
48,iterative,auto,warm,1,,True,0.1,12,90,0.5,0.2,fixed,1000,1000,1000,893,1,,4005,4405,17.336985911009833,978,885,93
48,iterative,auto,warm,1,,True,0.1,13,90,0.5,0.2,fixed,1000,1000,1000,960,1,,4005,4445,18.173742296989076,1037,955,82
48,iterative,auto,warm,1,,True,0.1,14,90,0.5,0.2,fixed,1000,1000,1000,926,1,,4005,4519,19.535325841003214,991,920,71
48,iterative,auto,warm,1,,True,0.1,15,90,0.5,0.2,fixed,1000,1000,1000,959,1,,4005,4560,16.993723785009934,1024,953,71
48,iterative,auto,warm,1,,True,0.1,16,90,0.5,0.2,fixed,1000,1000,1000,1022,1,,4005,4538,13.383773666995694,1076,1013,63
48,iterative,auto,warm,1,,True,0.1,17,90,0.5,0.2,fixed,1000,1000,1000,146,1,,4005,5392,14.96623872499913,1121,34,1087
48,iterative,auto,warm,1,,True,0.1,18,90,0.5,0.2,fixed,1000,1000,1000,195,1,,4005,6197,19.56136707299447,1963,22,1941
48,iterative,auto,warm,1,,True,0.1,19,90,0.5,0.2,fixed,1000,1000,1000,315,1,,4005,6882,20.48299537600542,2761,37,2724
48,iterative,auto,warm,1,,True,0.1,20,90,0.5,0.2,fixed,1000,1000,522,360,1,,4005,7044,21.34409176700865,3423,15,3408
48,iterative,auto,warm,1,,True,0.1,21,90,0.5,0.2,fixed,1000,1000,522,388,1,,4005,7178,20.875827978001325,3576,16,3560
48,iterative,auto,warm,1,,True,0.1,22,90,0.5,0.2,fixed,1000,1000,174,387,1,,4005,6965,18.90095290800673,3737,8,3729
48,iterative,auto,warm,1,,True,0.1,23,90,0.5,0.2,fixed,1000,1000,348,326,1,,4005,6987,19.299702864998835,3534,7,3527
48,iterative,auto,warm,1,,True,0.1,24,90,0.5,0.2,fixed,1000,1000,174,364,1,,4005,6797,19.92291012100759,3533,1,3532
48,iterative,auto,warm,1,,True,0.1,25,90,0.5,0.2,fixed,1000,1000,348,329,1,,4005,6816,20.330745326995384,3385,11,3374
48,iterative,auto,warm,1,,True,0.1,26,90,0.5,0.2,fixed,1000,1000,174,350,1,,4005,6640,21.805016862010234,3388,5,3383
48,iterative,auto,warm,1,,True,0.1,27,90,0.5,0.2,fixed,1000,1000,344,333,1,,4005,6651,19.164624793003895,3202,8,3194
48,iterative,auto,warm,1,,True,0.3,0,90,0.5,0.2,fixed,1000,100,100,369,1,,4005,101,0.009535079007036984,0,0,0
48,iterative,auto,warm,1,,True,0.3,1,90,0.5,0.2,fixed,1000,1000,1000,91,1,,4005,1010,0.03870625700801611,100,91,9
48,iterative,auto,warm,1,,True,0.3,2,90,0.5,0.2,fixed,1000,1000,1000,392,1,,4005,1618,0.057725599996047094,1009,127,882
48,iterative,auto,warm,1,,True,0.3,3,90,0.5,0.2,fixed,1000,1000,1000,359,1,,4005,2259,0.13050855101027992,710,216,494
48,iterative,auto,warm,1,,True,0.3,4,90,0.5,0.2,fixed,1000,1000,1000,531,1,,4005,2728,0.30048881299444474,984,292,692
48,iterative,auto,warm,1,,True,0.3,5,90,0.5,0.2,fixed,1000,1000,1000,788,1,,4005,2940,0.3517298689985182,1170,610,560
48,iterative,auto,warm,1,,True,0.3,6,90,0.5,0.2,fixed,1000,1000,1000,675,1,,4005,3265,1.455633322999347,1010,544,466
48,iterative,auto,warm,1,,True,0.3,7,90,0.5,0.2,fixed,1000,1000,1000,857,1,,4005,3408,2.9421121119958116,1072,770,302
48,iterative,auto,warm,1,,True,0.3,8,90,0.5,0.2,fixed,1000,1000,1000,776,1,,4005,3632,5.479590753995581,920,712,208
48,iterative,auto,warm,1,,True,0.3,9,90,0.5,0.2,fixed,1000,1000,1000,769,1,,4005,3863,7.631798832007917,885,736,149
48,iterative,auto,warm,1,,True,0.3,10,90,0.5,0.2,fixed,1000,1000,1000,807,1,,4005,4056,11.546344654998393,903,765,138
48,iterative,auto,warm,1,,True,0.3,11,90,0.5,0.2,fixed,1000,1000,1000,870,1,,4005,4186,13.377615313991555,940,839,101
48,iterative,auto,warm,1,,True,0.3,12,90,0.5,0.2,fixed,1000,1000,1000,909,1,,4005,4277,14.768595743997139,970,879,91
48,iterative,auto,warm,1,,True,0.3,13,90,0.5,0.2,fixed,1000,1000,1000,907,1,,4005,4370,17.739867794007296,962,881,81
