solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
32,once,auto,cold,1,,30,0.5,0.1,fixed,10,435,16241,1.1708933590000044,0.4732080180000082,0.6976853409999961,17.0
32,iterative,auto,warm,1,,30,0.5,0.1,fixed,10,435,551,2.3014302290000046,0.22654462599999192,2.0748856030000127,16.999999999999996
