solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
17,iterative,auto,warm,1,,True,0,50,0.5,0.2,fixed,1000,100,100,0,1,,1225,101,0.003683275999947
17,iterative,auto,warm,1,,True,1,50,0.5,0.2,fixed,1000,1000,1000,100,1,,1225,1001,0.02598718399997324
17,iterative,auto,warm,1,,True,2,50,0.5,0.2,fixed,1000,1000,1000,665,1,,1225,1336,0.0820747800000845
17,iterative,auto,warm,1,,True,3,50,0.5,0.2,fixed,1000,1000,1000,791,1,,1225,1545,0.11925367599997116
17,iterative,auto,warm,1,,True,4,50,0.5,0.2,fixed,1000,1000,1000,901,1,,1225,1644,0.1544744069999524
17,iterative,auto,warm,1,,True,5,50,0.5,0.2,fixed,1000,1000,1000,936,1,,1225,1708,0.3866767870000558
17,iterative,auto,warm,1,,True,6,50,0.5,0.2,fixed,1000,1000,1000,890,1,,1225,1818,0.5559121909999476
17,iterative,auto,warm,1,,True,7,50,0.5,0.2,fixed,1000,1000,1000,941,1,,1225,1877,0.601538440000013
17,iterative,auto,warm,1,,True,8,50,0.5,0.2,fixed,1000,1000,1000,965,1,,1225,1912,0.6507453539999233
17,iterative,auto,warm,1,,True,9,50,0.5,0.2,fixed,1000,1000,1000,955,1,,1225,1957,0.9557170140000153
17,iterative,auto,warm,1,,True,10,50,0.5,0.2,fixed,1000,1000,1000,940,1,,1225,2017,0.7901651629999833
17,iterative,auto,warm,1,,True,11,50,0.5,0.2,fixed,1000,1000,1000,1002,1,,1225,2015,0.5361493400000654
17,iterative,auto,warm,1,,True,12,50,0.5,0.2,fixed,1000,1000,1000,992,1,,1225,2023,0.6536866519999194
17,iterative,auto,warm,1,,True,13,50,0.5,0.2,fixed,1000,1000,1000,951,1,,1225,2072,0.7536926239999957
17,iterative,auto,warm,1,,True,14,50,0.5,0.2,fixed,1000,1000,1000,906,1,,1225,2166,0.701567692000026
17,iterative,auto,warm,1,,True,15,50,0.5,0.2,fixed,1000,1000,732,940,1,,1225,1958,0.5494744489999448
17,iterative,auto,warm,1,,True,16,50,0.5,0.2,fixed,1000,1000,677,682,1,,1225,1953,0.6167985450000515
17,iterative,auto,warm,1,,True,17,50,0.5,0.2,fixed,1000,1000,324,646,1,,1225,1631,0.47716875399999026
17,iterative,auto,warm,1,,True,18,50,0.5,0.2,fixed,1000,1000,278,295,1,,1225,1614,0.5410187390000374
17,iterative,auto,warm,1,,True,19,50,0.5,0.2,fixed,1000,1000,277,276,1,,1225,1615,0.5058342960001028
17,iterative,auto,warm,1,,True,20,50,0.5,0.2,fixed,1000,1000,453,245,1,,1225,1823,0.7396429310000485
17,iterative,auto,warm,1,,True,21,50,0.5,0.2,fixed,1000,1000,1000,816,1,,1225,2007,1.0496770210000932
17,iterative,auto,warm,1,,True,22,50,0.5,0.2,fixed,1000,1000,1000,952,1,,1225,2055,0.8345919050000248
17,iterative,auto,warm,1,,True,23,50,0.5,0.2,fixed,1000,1000,1000,1008,1,,1225,2047,1.3226694519999
17,iterative,auto,warm,1,,True,24,50,0.5,0.2,fixed,1000,1000,1000,943,1,,1225,2104,1.3072422120000056
17,iterative,auto,warm,1,,True,25,50,0.5,0.2,fixed,1000,1000,1000,977,1,,1225,2127,1.5483762919999435
17,iterative,auto,warm,1,,True,26,50,0.5,0.2,fixed,1000,1000,1000,942,1,,1225,2185,1.5856664719999571
17,iterative,auto,warm,1,,True,27,50,0.5,0.2,fixed,1000,1000,1000,983,1,,1225,2202,1.9488718759999983
17,iterative,auto,warm,1,,True,28,50,0.5,0.2,fixed,1000,1000,1000,995,1,,1225,2207,1.7751829869999938
17,iterative,auto,warm,1,,True,29,50,0.5,0.2,fixed,1000,1000,1000,1004,1,,1225,2203,1.8994927029999644
17,iterative,auto,warm,1,,True,30,50,0.5,0.2,fixed,1000,1000,537,793,1,,1225,1947,1.5330429850000655
17,iterative,auto,warm,1,,True,31,50,0.5,0.2,fixed,1000,1000,313,553,1,,1225,1707,1.3075359039999057
17,iterative,auto,warm,1,,True,32,50,0.5,0.2,fixed,1000,1000,791,347,1,,1225,2151,1.638813167999956
17,iterative,auto,warm,1,,True,33,50,0.5,0.2,fixed,1000,1000,527,756,1,,1225,1922,1.560547457000098
17,iterative,auto,warm,1,,True,34,50,0.5,0.2,fixed,1000,1000,692,526,1,,1225,2088,0.016456057000027613
