solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,min_order,min_proportion,proportion_used,variables,constraints,cpu_time
8,iterative,dual,warm,1,80,0.5,0.1,fixed,30000,30000,30000,1,1,1,3160,30101,20.51047444400001
8,iterative,dual,warm,2,80,0.5,0.1,fixed,30000,30000,27370,1,1,1,3160,57471,25.949759357999937
9,once,dual,cold,0,80,0.5,0.1,fixed,30000,328640,328640,0,1,1,3160,328641,53.381337421000126
9,iterative,dual,warm,0,80,0.5,0.1,fixed,30000,100,100,0,0.1,1,3160,101,0.00740917600001012
9,iterative,dual,warm,1,80,0.5,0.1,fixed,30000,30000,30000,0,0.1,1,3160,30101,13.472966414999973
9,iterative,dual,warm,2,80,0.5,0.1,fixed,30000,30000,27713,0,0.1,1,3160,57814,83.20213654399981
9,iterative,dual,warm,3,80,0.5,0.1,fixed,30000,30000,538,0,0.1,1,3160,58352,0.1226067120001062
10,once,dual,cold,0,80,0.5,0.1,fixed,100000,328640,328640,0,1,1,3160,328641,60.87828681299993
10,iterative,dual,warm,0,80,0.5,0.1,fixed,100000,100,100,0,1,1,3160,101,0.007556222999937745
10,iterative,dual,warm,1,80,0.5,0.1,fixed,100000,100000,38270,0,1,1,3160,38371,65.93781647799983
10,iterative,dual,warm,2,80,0.5,0.1,fixed,100000,100000,24737,0,1,1,3160,63108,11.200210611999864
11,once,dual,cold,0,80,0.5,0.1,fixed,300000,328640,328640,0,1,1,3160,328641,70.72970422200001
11,iterative,dual,warm,0,80,0.5,0.1,fixed,300000,100,100,0,1,1,3160,101,0.007364255000084086
11,iterative,dual,warm,1,80,0.5,0.1,fixed,300000,300000,33906,0,1,1,3160,34007,27.728075208000064
11,iterative,dual,warm,2,80,0.5,0.1,fixed,300000,300000,28734,0,1,1,3160,62741,39.05089421799994
12,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,2,1,1,3160,328641,295.515183408
12,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,2,1,1,3160,101,0.007366837000063242
12,iterative,dual,warm,1,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,1101,0.03258398900015891
12,iterative,dual,warm,2,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,2101,0.12251252900000509
12,iterative,dual,warm,3,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,3101,3.028361442000005
12,iterative,dual,warm,4,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,4101,11.194214226999975
12,iterative,dual,warm,5,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,5101,23.624718153000003
12,iterative,dual,warm,6,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,6101,36.95939492000002
12,iterative,dual,warm,7,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,7101,36.06108115400002
12,iterative,dual,warm,8,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,8101,32.31776367800012
12,iterative,dual,warm,9,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,9101,22.50661467300006
12,iterative,dual,warm,10,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,10101,7.821043706000182
12,iterative,dual,warm,11,80,0.5,0.2,fixed,1000,1000,131,2,1,1,3160,10232,1.850862610999684
12,iterative,dual,warm,12,80,0.5,0.2,fixed,1000,1000,3,2,1,1,3160,10235,0.37380141499988895
13,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,1,1,1,3160,328641,144.68548151799996
13,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,1,0.1,1,3160,101,0.0075083960000483785
13,iterative,dual,warm,1,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,1101,0.03141078999988167
13,iterative,dual,warm,2,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,2101,0.07374536399993303
13,iterative,dual,warm,3,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,3101,2.18453148899971
13,iterative,dual,warm,4,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,4101,12.272283517000233
13,iterative,dual,warm,5,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,5101,23.9854848519999
13,iterative,dual,warm,6,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,6101,35.2230854190002
13,iterative,dual,warm,7,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,7101,1.7299254599997766
14,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,0,1,1,3160,328641,172.49960796699997
14,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,0,0.01,1,3160,101,0.0075070299999424606
14,iterative,dual,warm,1,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,1101,0.035711138999886316
14,iterative,dual,warm,2,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,2101,0.11966182100013611
14,iterative,dual,warm,3,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,3101,2.2639866469999106
14,iterative,dual,warm,4,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,4101,11.108780285000194
14,iterative,dual,warm,5,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,5101,25.40493548400036
14,iterative,dual,warm,6,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,6101,35.27223236400005
14,iterative,dual,warm,7,80,0.5,0.2,fixed,1000,1000,1000,0,0.01,0.1,3160,7101,12.173934761000055
15,once,dual,cold,0,80,0.5,0.2,fixed,3000,328640,328640,2,1,1,3160,328641,232.6737988320001
15,iterative,dual,warm,0,80,0.5,0.2,fixed,3000,100,100,2,1,1,3160,101,0.0072095000000445
15,iterative,dual,warm,1,80,0.5,0.2,fixed,3000,3000,3000,2,1,1,3160,3101,0.2012998609998249
15,iterative,dual,warm,2,80,0.5,0.2,fixed,3000,3000,3000,2,1,1,3160,6101,25.775189455000145
15,iterative,dual,warm,3,80,0.5,0.2,fixed,3000,3000,3000,2,1,1,3160,9101,68.57361058400011
15,iterative,dual,warm,4,80,0.5,0.2,fixed,3000,3000,3000,2,1,1,3160,12101,15.377532172999963
16,once,dual,cold,0,80,0.5,0.2,fixed,3000,328640,328640,1,1,1,3160,328641,176.18231279099973
16,iterative,dual,warm,0,80,0.5,0.2,fixed,3000,100,100,1,0.1,1,3160,101,0.007105407000381092
16,iterative,dual,warm,1,80,0.5,0.2,fixed,3000,3000,3000,1,0.1,0.1,3160,3101,0.238876650000293
16,iterative,dual,warm,2,80,0.5,0.2,fixed,3000,3000,3000,1,0.1,0.1,3160,6101,24.082264269000007
16,iterative,dual,warm,3,80,0.5,0.2,fixed,3000,3000,3000,1,0.1,0.1,3160,9101,77.88537211500034
16,iterative,dual,warm,4,80,0.5,0.2,fixed,3000,3000,3000,1,0.1,1,3160,12101,9.586784401999921
17,once,dual,cold,0,80,0.5,0.2,fixed,3000,328640,328640,0,1,1,3160,328641,244.01571926700035
17,iterative,dual,warm,0,80,0.5,0.2,fixed,3000,100,100,0,0.01,1,3160,101,0.007603311999901052
17,iterative,dual,warm,1,80,0.5,0.2,fixed,3000,3000,3000,0,0.01,0.1,3160,3101,0.196065723999709
17,iterative,dual,warm,2,80,0.5,0.2,fixed,3000,3000,3000,0,0.01,0.1,3160,6101,24.85480828000027
17,iterative,dual,warm,3,80,0.5,0.2,fixed,3000,3000,3000,0,0.01,0.1,3160,9101,76.99904757700006
17,iterative,dual,warm,4,80,0.5,0.2,fixed,3000,3000,3000,0,0.01,1,3160,12101,42.40576572300006
18,once,dual,cold,0,80,0.5,0.2,fixed,10000,328640,328640,1,1,1,3160,328641,141.66364804399973
18,iterative,dual,warm,0,80,0.5,0.2,fixed,10000,100,100,1,1,1,3160,101,0.007386798999959865
18,iterative,dual,warm,1,80,0.5,0.2,fixed,10000,10000,10000,1,1,1,3160,10101,54.882042859000194
18,iterative,dual,warm,2,80,0.5,0.2,fixed,10000,10000,10000,1,1,1,3160,20101,15.321425087999614
19,once,dual,cold,0,80,0.5,0.2,fixed,10000,328640,328640,0,1,1,3160,328641,240.92449217600006
19,iterative,dual,warm,0,80,0.5,0.2,fixed,10000,100,100,0,0.1,1,3160,101,0.007311222999305755
19,iterative,dual,warm,1,80,0.5,0.2,fixed,10000,10000,10000,0,0.1,1,3160,10101,28.17895587000021
19,iterative,dual,warm,2,80,0.5,0.2,fixed,10000,10000,10000,0,0.1,1,3160,20101,128.28097542999967
19,iterative,dual,warm,3,80,0.5,0.2,fixed,10000,10000,535,0,0.1,1,3160,20636,3.6990719169998556
20,once,dual,cold,0,80,0.5,0.2,fixed,30000,328640,328640,1,1,1,3160,328641,193.86452180699962
20,iterative,dual,warm,0,80,0.5,0.2,fixed,30000,100,100,1,1,1,3160,101,0.007388546000584029
20,iterative,dual,warm,1,80,0.5,0.2,fixed,30000,30000,30000,1,1,1,3160,30101,84.15854861599928
20,iterative,dual,warm,2,80,0.5,0.2,fixed,30000,30000,19871,1,1,1,3160,49972,238.6474223940004
20,iterative,dual,warm,3,80,0.5,0.2,fixed,30000,30000,699,1,1,1,3160,50671,1.3316300569995292
21,once,dual,cold,0,80,0.5,0.2,fixed,30000,328640,328640,0,1,1,3160,328641,192.48000893599965
21,iterative,dual,warm,0,80,0.5,0.2,fixed,30000,100,100,0,0.1,1,3160,101,0.007466701000339526
21,iterative,dual,warm,1,80,0.5,0.2,fixed,30000,30000,30000,0,0.1,1,3160,30101,159.2599231180002
21,iterative,dual,warm,2,80,0.5,0.2,fixed,30000,30000,23947,0,0.1,1,3160,54048,43.00646015199982
22,once,dual,cold,0,80,0.5,0.2,fixed,100000,328640,328640,0,1,1,3160,328641,170.18100820499967
22,iterative,dual,warm,0,80,0.5,0.2,fixed,100000,100,100,0,1,1,3160,101,0.007443978000083007
22,iterative,dual,warm,1,80,0.5,0.2,fixed,100000,100000,35582,0,1,1,3160,35683,85.41457022600025
22,iterative,dual,warm,2,80,0.5,0.2,fixed,100000,100000,21939,0,1,1,3160,57622,271.34847579800044
22,iterative,dual,warm,3,80,0.5,0.2,fixed,100000,100000,908,0,1,1,3160,58530,1.1017655830000876
23,once,dual,cold,0,80,0.5,0.2,fixed,300000,328640,328640,0,1,1,3160,328641,293.4448573589998
23,iterative,dual,warm,0,80,0.5,0.2,fixed,300000,100,100,0,1,1,3160,101,0.007544886999312439
23,iterative,dual,warm,1,80,0.5,0.2,fixed,300000,300000,36404,0,1,1,3160,36505,123.36082663700017
23,iterative,dual,warm,2,80,0.5,0.2,fixed,300000,300000,22229,0,1,1,3160,58734,378.79125475399997
23,iterative,dual,warm,3,80,0.5,0.2,fixed,300000,300000,542,0,1,1,3160,59276,1.3839460859999235
24,once,dual,cold,0,80,0.8,0.1,fixed,1000,328640,328640,2,1,1,3160,328641,22.30891832099951
24,iterative,dual,warm,0,80,0.8,0.1,fixed,1000,100,100,2,1,1,3160,101,0.00836242500008666
24,iterative,dual,warm,1,80,0.8,0.1,fixed,1000,1000,1000,2,1,1,3160,1101,0.027010400999643025
24,iterative,dual,warm,2,80,0.8,0.1,fixed,1000,1000,1000,2,1,1,3160,2101,0.03975911300040025
24,iterative,dual,warm,3,80,0.8,0.1,fixed,1000,1000,1000,2,1,1,3160,3101,0.009882538999590906
25,once,dual,cold,0,80,0.8,0.1,fixed,1000,328640,328640,1,1,1,3160,328641,21.058422387000064
25,iterative,dual,warm,0,80,0.8,0.1,fixed,1000,100,100,1,0.1,1,3160,101,0.007468797000001359
25,iterative,dual,warm,1,80,0.8,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,1101,0.02611998200063681
25,iterative,dual,warm,2,80,0.8,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,2101,0.04473641700042208
25,iterative,dual,warm,3,80,0.8,0.1,fixed,1000,1000,1000,1,0.1,1,3160,3101,0.007424889000503754
26,once,dual,cold,0,80,0.8,0.1,fixed,1000,328640,328640,0,1,1,3160,328641,22.842285083000206
26,iterative,dual,warm,0,80,0.8,0.1,fixed,1000,100,100,0,0.01,1,3160,101,0.008719448000192642
26,iterative,dual,warm,1,80,0.8,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,1101,0.02488030099993921
