solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
1,once,auto,cold,1,,0,100,0.5,0.1,fixed,100,646800,646800,1,,4950,646801,815.6369071680001
1,iterative,auto,warm,1,,0,100,0.5,0.1,fixed,100,100,100,1,,4950,101,0.0109338789998219
1,iterative,auto,warm,1,,1,100,0.5,0.1,fixed,100,100,100,1,,4950,201,0.007607360999827506
1,iterative,auto,warm,1,,2,100,0.5,0.1,fixed,100,100,100,1,,4950,301,0.010200920999977825
1,iterative,auto,warm,1,,3,100,0.5,0.1,fixed,100,100,100,1,,4950,401,0.00965124900039882
1,iterative,auto,warm,1,,4,100,0.5,0.1,fixed,100,100,100,1,,4950,501,0.011832099000002927
1,iterative,auto,warm,1,,5,100,0.5,0.1,fixed,100,100,100,1,,4950,601,0.011725073999969027
1,iterative,auto,warm,1,,6,100,0.5,0.1,fixed,100,100,100,1,,4950,701,0.012944501000220043
1,iterative,auto,warm,1,,7,100,0.5,0.1,fixed,100,100,100,1,,4950,801,0.013551969999753055
1,iterative,auto,warm,1,,8,100,0.5,0.1,fixed,100,100,100,1,,4950,901,0.013774941999599832
1,iterative,auto,warm,1,,9,100,0.5,0.1,fixed,100,100,100,1,,4950,1001,0.01549804700016466
1,iterative,auto,warm,1,,10,100,0.5,0.1,fixed,100,100,100,1,,4950,1101,0.015276484999958484
1,iterative,auto,warm,1,,11,100,0.5,0.1,fixed,100,100,100,1,,4950,1201,0.016635389999919425
1,iterative,auto,warm,1,,12,100,0.5,0.1,fixed,100,100,100,1,,4950,1301,0.017276201999720797
1,iterative,auto,warm,1,,13,100,0.5,0.1,fixed,100,100,100,1,,4950,1401,0.018747553000139305
1,iterative,auto,warm,1,,14,100,0.5,0.1,fixed,100,100,100,1,,4950,1501,0.01798459700012245
1,iterative,auto,warm,1,,15,100,0.5,0.1,fixed,100,100,100,1,,4950,1601,0.020510861000275327
1,iterative,auto,warm,1,,16,100,0.5,0.1,fixed,100,100,100,1,,4950,1701,0.021292612999786797
1,iterative,auto,warm,1,,17,100,0.5,0.1,fixed,100,100,100,1,,4950,1801,0.021514702000331454
1,iterative,auto,warm,1,,18,100,0.5,0.1,fixed,100,100,100,1,,4950,1901,0.02296871499993358
1,iterative,auto,warm,1,,19,100,0.5,0.1,fixed,100,100,100,1,,4950,2001,0.02522602100043514
1,iterative,auto,warm,1,,20,100,0.5,0.1,fixed,100,100,100,1,,4950,2101,0.03516678400001183
1,iterative,auto,warm,1,,21,100,0.5,0.1,fixed,100,100,100,1,,4950,2201,0.018741901999874244
1,iterative,auto,warm,1,,22,100,0.5,0.1,fixed,100,100,100,1,,4950,2301,0.025116798999988532
1,iterative,auto,warm,1,,23,100,0.5,0.1,fixed,100,100,100,1,,4950,2401,0.019821286000023974
1,iterative,auto,warm,1,,24,100,0.5,0.1,fixed,100,100,100,1,,4950,2501,0.036069899999802146
1,iterative,auto,warm,1,,25,100,0.5,0.1,fixed,100,100,100,1,,4950,2601,0.040506767999886506
1,iterative,auto,warm,1,,26,100,0.5,0.1,fixed,100,100,100,1,,4950,2701,0.07498172199984765
1,iterative,auto,warm,1,,27,100,0.5,0.1,fixed,100,100,100,1,,4950,2801,0.10347520899995288
1,iterative,auto,warm,1,,28,100,0.5,0.1,fixed,100,100,100,1,,4950,2901,0.10334339800010639
1,iterative,auto,warm,1,,29,100,0.5,0.1,fixed,100,100,100,1,,4950,3001,0.20202373800020723
1,iterative,auto,warm,1,,30,100,0.5,0.1,fixed,100,100,100,1,,4950,3101,0.34468898700015416
1,iterative,auto,warm,1,,31,100,0.5,0.1,fixed,100,100,100,1,,4950,3201,0.4953419200001008
1,iterative,auto,warm,1,,32,100,0.5,0.1,fixed,100,100,100,1,,4950,3301,0.5933710419999443
1,iterative,auto,warm,1,,33,100,0.5,0.1,fixed,100,100,100,1,,4950,3401,0.7088899089999359
1,iterative,auto,warm,1,,34,100,0.5,0.1,fixed,100,100,100,1,,4950,3501,0.6831398330000411
1,iterative,auto,warm,1,,35,100,0.5,0.1,fixed,100,100,100,1,,4950,3601,0.8943016670000361
1,iterative,auto,warm,1,,36,100,0.5,0.1,fixed,100,100,100,1,,4950,3701,1.1729377409997142
1,iterative,auto,warm,1,,37,100,0.5,0.1,fixed,100,100,100,1,,4950,3801,1.7662479420000636
1,iterative,auto,warm,1,,38,100,0.5,0.1,fixed,100,100,100,1,,4950,3901,1.380512365999948
1,iterative,auto,warm,1,,39,100,0.5,0.1,fixed,100,100,100,1,,4950,4001,2.172133925000253
1,iterative,auto,warm,1,,40,100,0.5,0.1,fixed,100,100,100,1,,4950,4101,2.5312467220001054
1,iterative,auto,warm,1,,41,100,0.5,0.1,fixed,100,100,100,1,,4950,4201,3.089080060000015
1,iterative,auto,warm,1,,42,100,0.5,0.1,fixed,100,100,100,1,,4950,4301,3.9247005929996703
1,iterative,auto,warm,1,,43,100,0.5,0.1,fixed,100,100,100,1,,4950,4401,4.084315885000251
1,iterative,auto,warm,1,,44,100,0.5,0.1,fixed,100,100,100,1,,4950,4501,4.237949833999664
1,iterative,auto,warm,1,,45,100,0.5,0.1,fixed,100,100,100,1,,4950,4601,5.616683941000247
1,iterative,auto,warm,1,,46,100,0.5,0.1,fixed,100,100,100,1,,4950,4701,5.927869496000312
1,iterative,auto,warm,1,,47,100,0.5,0.1,fixed,100,100,100,1,,4950,4801,6.376738788000239
1,iterative,auto,warm,1,,48,100,0.5,0.1,fixed,100,100,100,1,,4950,4901,6.326968917000158
1,iterative,auto,warm,1,,49,100,0.5,0.1,fixed,100,100,100,1,,4950,5001,5.858768977000182
1,iterative,auto,warm,1,,50,100,0.5,0.1,fixed,100,100,100,1,,4950,5101,7.127729973999976
1,iterative,auto,warm,1,,51,100,0.5,0.1,fixed,100,100,100,1,,4950,5201,7.432462233000024
1,iterative,auto,warm,1,,52,100,0.5,0.1,fixed,100,100,100,1,,4950,5301,6.128204346000075
1,iterative,auto,warm,1,,53,100,0.5,0.1,fixed,100,100,100,1,,4950,5401,4.168500672999926
1,iterative,auto,warm,1,,54,100,0.5,0.1,fixed,100,100,100,1,,4950,5501,0.9672272949997023
1,iterative,auto,warm,1,,55,100,0.5,0.1,fixed,100,100,100,1,,4950,5601,0.02299415700008467
