solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,min_order,min_proportion,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,80,0.5,0.1,fixed,10,0,1,3160,328641,302.159289871,286.760689329,15.398600541999997,170.9999999999767
0,iterative,dual,warm,80,0.5,0.1,fixed,10,0,0.0001,3160,121423,2573.582132777,1112.1380764190249,1461.4440563579751,171.00000000001933
1,once,auto,cold,80,0.5,0.1,fixed,10,1,1,3160,328641,255.34304446800024,240.39455043999988,14.948494028000368,143.00000000002206
1,iterative,dual,warm,80,0.5,0.1,fixed,10,1,0.001,3160,100056,1566.062751383,676.7833515200236,889.2793998629763,143.0000000000042
2,once,auto,cold,80,0.5,0.1,fixed,10,2,1,3160,328641,327.21278995800003,310.754936157,16.457853801000056,178.99999999999545
2,iterative,dual,warm,80,0.5,0.1,fixed,10,2,0.01,3160,65714,1228.5826508530008,319.10495862999505,909.4776922230058,179.00000000000009
3,once,auto,cold,80,0.5,0.1,fixed,10,3,1,3160,328641,271.9586373329994,257.1365072489998,14.822130083999582,152.9999999999872
3,iterative,dual,warm,80,0.5,0.1,fixed,10,3,0.1,3160,71826,5253.012992694999,321.647412328015,4931.365580366984,152.99999999999764
4,once,auto,cold,80,0.5,0.1,fixed,30,0,1,3160,328641,305.6425634119987,290.94451529400067,14.698048117998042,188.00000000000773
4,iterative,dual,warm,80,0.5,0.1,fixed,30,0,0.0001,3160,118772,1154.2950995650008,489.4561365479749,664.8389630170259,187.99999999999648
5,once,auto,cold,80,0.5,0.1,fixed,30,1,1,3160,328641,310.12123177000103,295.21850178100067,14.902729989000363,160.9999999999931
5,iterative,dual,warm,80,0.5,0.1,fixed,30,1,0.001,3160,130650,1040.7515997720002,585.3226325129435,455.42896725905666,160.99999999999952
6,once,auto,cold,80,0.5,0.1,fixed,30,2,1,3160,328641,276.3961301140007,261.4135144810007,14.982615633000023,151.99999999999304
6,iterative,dual,warm,80,0.5,0.1,fixed,30,2,0.01,3160,60332,437.4898030679997,91.62600737696448,345.8637956910352,152.00000000000009
7,once,auto,cold,80,0.5,0.1,fixed,30,3,1,3160,328641,277.776663138,263.04690299699905,14.729760141000952,140.0000000000034
7,iterative,dual,warm,80,0.5,0.1,fixed,30,3,0.1,3160,76827,1889.8912422539997,119.87018068092402,1770.0210615730757,140.00000000000094
8,once,auto,cold,80,0.5,0.1,fixed,100,0,1,3160,328641,263.99612675699973,249.02609226500135,14.970034491998376,130.00000000000205
8,iterative,dual,warm,80,0.5,0.1,fixed,100,0,0.001,3160,112067,365.18427170799987,97.65145412996935,267.5328175780305,130.00000000000026
9,once,auto,cold,80,0.5,0.1,fixed,100,1,1,3160,328641,297.6557890210024,282.3004208019993,15.35536821900314,172.99999999999343
9,iterative,dual,warm,80,0.5,0.1,fixed,100,1,0.01,3160,60139,248.53894133699941,54.423824146975676,194.11511719002374,172.99999999999997
10,once,auto,cold,80,0.5,0.1,fixed,100,2,1,3160,328641,309.4603530780005,294.1224632119993,15.337889866001206,157.00000000000801
10,iterative,dual,warm,80,0.5,0.1,fixed,100,2,0.1,3160,92712,751.9064911450005,73.3744761669659,678.5320149780346,156.99999999999955
11,once,auto,cold,80,0.5,0.1,fixed,100,3,1,3160,328641,287.66396435599745,272.83839403300226,14.82557032299519,151.99999999998158
11,iterative,dual,warm,80,0.5,0.1,fixed,100,3,1,3160,55571,3042.2584786370026,42.763148026955605,2999.495330610047,151.99999999999898
12,once,auto,cold,80,0.5,0.1,fixed,300,0,1,3160,328641,275.64683238699945,260.7525184190017,14.894313967997732,165.0000000000028
12,iterative,dual,warm,80,0.5,0.1,fixed,300,0,0.001,3160,118057,247.42586562400174,84.13803475602617,163.28783086797557,165.00000000002217
13,once,auto,cold,80,0.5,0.1,fixed,300,1,1,3160,328641,267.0347593689985,251.5993091119999,15.435450256998593,159.9999999999987
13,iterative,dual,warm,80,0.5,0.1,fixed,300,1,0.01,3160,115463,214.85681050800122,70.90397076101726,143.95283974698395,160.00000000000162
14,once,auto,cold,80,0.5,0.1,fixed,300,2,1,3160,328641,268.48775352899975,253.6900847729994,14.797668756000348,143.00000000000512
14,iterative,dual,warm,80,0.5,0.1,fixed,300,2,0.1,3160,61114,218.90721527999995,15.15945002600347,203.74776525399648,142.9999999999997
15,once,auto,cold,80,0.5,0.1,fixed,300,3,1,3160,328641,281.9314801679975,266.3146993010014,15.616780866996123,172.99999999999812
15,iterative,dual,warm,80,0.5,0.1,fixed,300,3,1,3160,89051,1564.1678879959982,30.921285254036775,1533.2466027419614,173.00000000000028
16,once,auto,cold,80,0.5,0.1,fixed,1000,0,1,3160,328641,286.9850045070016,272.1754013719983,14.809603135003272,173.99999999999815
16,iterative,dual,warm,80,0.5,0.1,fixed,1000,0,0.01,3160,109893,150.8673027329969,23.006221645984624,127.86108108701228,173.99999999999912
17,once,auto,cold,80,0.5,0.1,fixed,1000,1,1,3160,328641,338.5244153860003,323.75580896300016,14.768606423000165,183.0000000000075
