solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
14,iterative,auto,warm,1,,False,0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.0021387399999994727,0,0,0
14,iterative,auto,warm,1,,False,0,1,20,0.5,0.2,fixed,1000,1000,558,0,1,,190,659,0.04512221299999908,0,0,0
14,iterative,auto,warm,1,,False,0,2,20,0.5,0.2,fixed,1000,1000,251,0,1,,190,910,0.025788169999998445,0,0,0
14,iterative,auto,warm,1,,True,0,0,20,0.5,0.2,fixed,1000,100,100,0,1,,190,101,0.002131468999998276,0,0,0
14,iterative,auto,warm,1,,True,0,1,20,0.5,0.2,fixed,1000,1000,570,60,1,,190,611,0.03581840000000014,100,60,40
14,iterative,auto,warm,1,,True,0,2,20,0.5,0.2,fixed,1000,1000,213,235,1,,190,589,0.020781698000000404,441,235,206
14,iterative,auto,warm,1,,True,0,3,20,0.5,0.2,fixed,1000,1000,23,94,1,,190,518,0.003014656000001281,403,94,309
14,iterative,auto,warm,1,,True,0.1,0,20,0.5,0.2,fixed,1000,100,100,3,1,,190,101,0.0019734549999981255,0,0,0
14,iterative,auto,warm,1,,True,0.1,1,20,0.5,0.2,fixed,1000,1000,564,59,1,,190,606,0.038803975000000435,100,53,47
14,iterative,auto,warm,1,,True,0.1,2,20,0.5,0.2,fixed,1000,1000,472,381,1,,190,697,0.04381367099999878,449,376,73
14,iterative,auto,warm,1,,True,0.1,3,20,0.5,0.2,fixed,1000,1000,310,472,1,,190,535,0.03845367899999985,521,466,55
14,iterative,auto,warm,1,,True,0.1,4,20,0.5,0.2,fixed,1000,1000,41,190,1,,190,386,0.0018854059999995343,351,176,175
14,iterative,auto,warm,1,,True,0.3,0,20,0.5,0.2,fixed,1000,100,100,48,1,,190,101,0.002178483999998093,0,0,0
14,iterative,auto,warm,1,,True,0.3,1,20,0.5,0.2,fixed,1000,1000,594,65,1,,190,630,0.029969647000001487,100,50,50
14,iterative,auto,warm,1,,True,0.3,2,20,0.5,0.2,fixed,1000,1000,104,213,1,,190,521,0.026598304000000184,465,117,348
14,iterative,auto,warm,1,,True,0.3,3,20,0.5,0.2,fixed,1000,1000,277,339,1,,190,459,0.03577577600000126,344,334,10
14,iterative,auto,warm,1,,True,0.3,4,20,0.5,0.2,fixed,1000,1000,390,275,1,,190,574,0.03698105900000215,282,274,8
14,iterative,auto,warm,1,,True,0.3,5,20,0.5,0.2,fixed,1000,1000,14,283,1,,190,305,0.024437478999999485,392,227,165
14,iterative,auto,warm,1,,True,0.3,6,20,0.5,0.2,fixed,1000,1000,65,49,1,,190,321,0.026343637000000086,126,28,98
14,iterative,auto,warm,1,,True,0.3,7,20,0.5,0.2,fixed,1000,1000,67,80,1,,190,308,0.02267592300000132,140,63,77
14,iterative,auto,warm,1,,True,0.3,8,20,0.5,0.2,fixed,1000,1000,58,80,1,,190,286,0.0016251039999986006,128,67,61
