solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
189,once,auto,cold,1,,False,0,110,0.5,0.2,fixed,1000,5995,863281,694.90625,678.9375,15.96875,577.9999999999997,0,0,0
189,iterative,auto,warm,1,,False,0,110,0.5,0.2,fixed,1000,5995,13101,311.65625,289.109375,22.546875,577.9999999999995,0,0,0
189,iterative,auto,warm,1,,True,0,110,0.5,0.2,fixed,1000,5995,6445,153.109375,115.0625,38.046875,577.9999999999989,22837,14870,7967
