solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,auto,cold,1,,70,0.5,0.1,fixed,1000,2415,218961,150.348214003,140.257605063,10.09060894000001,127.0
0,iterative,auto,warm,1,,70,0.5,0.1,fixed,1000,2415,5101,8.766489296999993,4.389514480000031,4.376974816999962,127.0000000000001
1,once,auto,cold,1,,70,0.5,0.1,fixed,10000,2415,218961,186.122015121,176.110938448,10.011076672999991,131.99999999999588
1,iterative,auto,warm,1,,70,0.5,0.1,fixed,10000,2415,17587,12.55377999000001,8.742903146999993,3.810876843000017,131.99999999999994
2,once,auto,cold,1,,70,0.5,0.1,fixed,100000,2415,218961,167.330006588,157.02921657599995,10.30079001200005,141.99999999999278
2,iterative,auto,warm,1,,70,0.5,0.1,fixed,100000,2415,43257,90.460933275,85.4022858630002,5.0586474119998,141.99999999999127
3,once,auto,cold,1,,70,0.5,0.1,fixed,1000000,2415,218961,142.61591836700006,131.957385863,10.65853250400005,137.9999999999952
4,once,auto,cold,1,,70,0.5,0.2,fixed,1000,2415,218961,202.49572421599999,192.54846457199994,9.947259644000042,250.99999999999994
4,iterative,auto,warm,1,,70,0.5,0.2,fixed,1000,2415,8101,79.67740580099996,73.02161329400019,6.655792506999774,250.99999999996894
5,once,auto,cold,1,,70,0.5,0.2,fixed,10000,2415,218961,174.53976048999994,164.01207870000007,10.52768178999986,222.99999999999918
5,iterative,auto,warm,1,,70,0.5,0.2,fixed,10000,2415,20101,49.64886056899991,46.09535310599972,3.5535074630001873,223.00000000000904
6,once,auto,cold,1,,70,0.5,0.2,fixed,100000,2415,218961,194.085320444,183.31500899399998,10.770311450000008,224.00000000000037
6,iterative,auto,warm,1,,70,0.5,0.2,fixed,100000,2415,40411,179.97991988000012,175.18295398300006,4.796965897000064,223.99999999999815
7,once,auto,cold,1,,70,0.5,0.2,fixed,1000000,2415,218961,109.49101916599989,99.23285728099995,10.258161884999936,253.32119205298028
8,once,auto,cold,1,,70,0.8,0.1,fixed,1000,2415,218961,85.29588922199991,74.8989390910001,10.396950130999812,133.00000000000009
8,iterative,auto,warm,1,,70,0.8,0.1,fixed,1000,2415,3369,3.888629475000016,0.0660872829996606,3.8225421920003555,133.0
9,once,auto,cold,1,,70,0.8,0.1,fixed,10000,2415,218961,83.19480007800007,73.24147367699993,9.95332640100014,111.00000000000009
9,iterative,auto,warm,1,,70,0.8,0.1,fixed,10000,2415,17558,4.370599645000084,0.9258304509999107,3.4447691940001732,111.0
10,once,auto,cold,1,,70,0.8,0.1,fixed,100000,2415,218961,73.01141474299993,62.579474868000034,10.431939874999898,106.00000000000045
10,iterative,auto,warm,1,,70,0.8,0.1,fixed,100000,2415,26808,5.256970671999852,1.4274188669999148,3.8295518049999373,106.0
