solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
24,iterative,auto,warm,1,,0,150,0.5,0.1,fixed,1000,100,100,1,,11175,101,0.021011189004639164
24,iterative,auto,warm,1,,1,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,1101,0.06948815200303216
24,iterative,auto,warm,1,,2,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,2101,0.11272227299923543
24,iterative,auto,warm,1,,3,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,3101,0.18506690899812384
24,iterative,auto,warm,1,,4,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,4101,0.345503614997142
24,iterative,auto,warm,1,,5,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,5101,0.2928783659954206
24,iterative,auto,warm,1,,6,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,6101,0.1887560730028781
24,iterative,auto,warm,1,,7,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,7101,1.2409941670048283
24,iterative,auto,warm,1,,8,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,8101,6.037337360998208
24,iterative,auto,warm,1,,9,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,9101,18.83834527200088
24,iterative,auto,warm,1,,10,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,10101,47.928311923002184
24,iterative,auto,warm,1,,11,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,11101,70.4005566259948
24,iterative,auto,warm,1,,12,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,12101,131.54338157999882
24,iterative,auto,warm,1,,13,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,13101,149.86753388699435
24,iterative,auto,warm,1,,14,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,14101,85.49243859499984
24,iterative,auto,warm,1,,15,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,15101,35.9647271099966
24,iterative,auto,warm,1,,16,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,16101,62.17545166199852
24,iterative,auto,warm,1,,17,150,0.5,0.1,fixed,1000,1000,1000,1,,11175,17101,5.2046972590032965
