solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time
16,iterative,auto,warm,1,,True,0,40,0.5,0.2,fixed,1000,100,100,0,1,,780,101,0.0
16,iterative,auto,warm,1,,True,1,40,0.5,0.2,fixed,1000,1000,1000,100,1,,780,1001,0.015625
16,iterative,auto,warm,1,,True,2,40,0.5,0.2,fixed,1000,1000,1000,620,1,,780,1381,0.125
16,iterative,auto,warm,1,,True,3,40,0.5,0.2,fixed,1000,1000,1000,772,1,,780,1609,0.171875
16,iterative,auto,warm,1,,True,4,40,0.5,0.2,fixed,1000,1000,1000,961,1,,780,1648,0.171875
16,iterative,auto,warm,1,,True,5,40,0.5,0.2,fixed,1000,1000,912,1006,1,,780,1554,0.125
16,iterative,auto,warm,1,,True,6,40,0.5,0.2,fixed,1000,1000,1000,934,1,,780,1620,0.125
16,iterative,auto,warm,1,,True,7,40,0.5,0.2,fixed,1000,1000,1000,957,1,,780,1663,0.09375
16,iterative,auto,warm,1,,True,8,40,0.5,0.2,fixed,1000,1000,952,991,1,,780,1624,0.09375
16,iterative,auto,warm,1,,True,9,40,0.5,0.2,fixed,1000,1000,1000,893,1,,780,1731,0.109375
16,iterative,auto,warm,1,,True,10,40,0.5,0.2,fixed,1000,1000,578,910,1,,780,1399,0.0625
16,iterative,auto,warm,1,,True,11,40,0.5,0.2,fixed,1000,1000,360,465,1,,780,1294,0.0625
16,iterative,auto,warm,1,,True,12,40,0.5,0.2,fixed,1000,1000,216,357,1,,780,1153,0.078125
