solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
34,iterative,auto,warm,1,,False,0,0,60,0.5,0.2,fixed,1000,100,100,0,1,,1770,101,0.004717583999990893,0,0,0
34,iterative,auto,warm,1,,False,0,1,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,1101,0.027150798000548093,0,0,0
34,iterative,auto,warm,1,,False,0,2,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,2101,0.7307371179995243,0,0,0
34,iterative,auto,warm,1,,False,0,3,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,3101,5.5402699119995304,0,0,0
34,iterative,auto,warm,1,,False,0,4,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,4101,8.983901118000176,0,0,0
34,iterative,auto,warm,1,,False,0,5,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,5101,8.527012821000426,0,0,0
34,iterative,auto,warm,1,,False,0,6,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,6101,0.2371864149999965,0,0,0
34,iterative,auto,warm,1,,True,0,0,60,0.5,0.2,fixed,1000,100,100,0,1,,1770,101,0.004486173000259441,0,0,0
34,iterative,auto,warm,1,,True,0,1,60,0.5,0.2,fixed,1000,1000,1000,80,1,,1770,1021,0.023756325999784167,100,80,20
34,iterative,auto,warm,1,,True,0,2,60,0.5,0.2,fixed,1000,1000,1000,224,1,,1770,1797,0.2659399250005663,643,224,419
34,iterative,auto,warm,1,,True,0,3,60,0.5,0.2,fixed,1000,1000,1000,675,1,,1770,2122,1.3795313489999899,847,675,172
34,iterative,auto,warm,1,,True,0,4,60,0.5,0.2,fixed,1000,1000,1000,781,1,,1770,2341,2.0554299339992212,851,781,70
34,iterative,auto,warm,1,,True,0,5,60,0.5,0.2,fixed,1000,1000,1000,881,1,,1770,2460,2.4014116620001005,921,881,40
34,iterative,auto,warm,1,,True,0,6,60,0.5,0.2,fixed,1000,1000,1000,913,1,,1770,2547,2.5887823969997044,943,913,30
34,iterative,auto,warm,1,,True,0,7,60,0.5,0.2,fixed,1000,1000,1000,928,1,,1770,2619,2.004745924999952,954,928,26
34,iterative,auto,warm,1,,True,0,8,60,0.5,0.2,fixed,1000,1000,1000,950,1,,1770,2669,1.916365627000232,970,950,20
