solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
0,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,13101,712.3090925839999,685.112638055,27.196454528999876,523.0000000000006,0,0,0
0,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5840,577.2899528869999,494.5564470880011,82.73350579899899,523.0000000000036,38020,32261,5759
0,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,6296,1565.5538879130002,1476.1092451670002,89.44464274600023,522.9999999999978,38723,31695,7028
0,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,5668,1888.833894322,1782.2260023020003,106.6078920199998,522.9999999999985,47372,32560,14812
1,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,598.9990034989996,572.5118993659971,26.487104133002504,504.0000000000012,0,0,0
1,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5643,380.39624364500014,324.6067136349993,55.78953001000082,504.0000000000047,23669,18458,5211
1,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,8316,938.3631336790004,871.6543408340002,66.70879284500006,504.00000000000006,36378,17967,18411
1,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6765,956.5276066819997,880.9892029080029,75.53840377399683,504.00000000000284,37141,17887,19254
10,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,574.6139896970017,547.6360361870029,26.97795350999877,497.00000000000085,0,0,0
10,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5994,344.1988745970011,288.2066796660074,55.99219493099372,497.00000000000114,23731,17495,6236
10,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7823,861.7874184049979,792.9551213900012,68.83229701499657,496.9999999999977,37637,16052,21585
10,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6156,996.5882752590004,918.7457173199872,77.8425579390132,497.00000000000114,47167,17016,30151
11,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11101,406.5165275350008,380.2768030830011,26.239724451999788,501.0000000000024,0,0,0
11,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6348,205.02415257099707,159.4883852200037,45.5357673509934,500.9999999999968,18553,12753,5800
11,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,8958,876.0992343580002,814.2536561839843,61.84557817401583,501.0000000000056,45143,12328,32815
11,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,7097,608.8621802960006,542.8962912839961,65.96588901200448,500.9999999999938,43361,13286,30075
12,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11677,401.589331449999,375.0426605099965,26.546670940002517,484.00000000000153,0,0,0
12,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5738,224.03088209899946,173.2763794909879,50.75450260801154,483.9999999999944,21121,14747,6374
12,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,8623,1454.5060371940015,1382.027265226017,72.47877196798436,484.0000000000044,68744,12382,56362
12,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6874,687.5184549459955,617.6504109059532,69.86804404004215,484.0000000000003,51004,13093,37911
13,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,578.8612803939977,550.5195098639888,28.341770530008944,503.00000000000296,0,0,0
13,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5598,350.72063545400306,292.80473448198615,57.91590097201697,502.9999999999968,24069,18503,5566
13,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7525,855.0957801240003,783.7074715220006,71.3883086019996,503.00000000000114,41628,17001,24627
13,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6551,624.7889403089939,560.4816811050114,64.30725920398254,502.9999999999993,28064,16753,11311
14,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,14101,817.9288608019998,786.8173477199817,31.111513082018064,522.0000000000011,0,0,0
14,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6053,651.0810166980009,553.9540585579889,97.126958140012,522.0000000000015,44968,38242,6726
14,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,6357,1743.2639686429975,1642.2821096910266,100.98185895197092,521.9999999999997,43795,36607,7188
14,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6132,2155.891538641001,2039.2733926990038,116.61814594199676,522.0000000000023,51998,39296,12702
15,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11101,378.0175663740009,352.24365040998964,25.773915964011394,475.99999999999915,0,0,0
15,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6334,212.5935417560031,163.50813876601748,49.0854029899856,476.00000000000136,20358,13767,6591
15,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,8754,605.0603197759992,549.291894162976,55.76842561302328,476.0000000000003,31311,12296,19015
15,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6235,985.4303681629973,888.3507147750206,97.07965338797656,476.0000000000074,82881,13410,69471
16,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11295,429.70811247899843,401.80909091899963,27.899021559998804,495.00000000000136,0,0,0
16,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5418,228.40331051300015,181.16346695700489,47.23984355599532,495.00000000000193,18659,13683,4976
16,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7933,604.9424292629992,543.8366564010066,61.1057728619926,494.9999999999984,37637,13263,24374
16,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6314,759.7246882519977,686.6296013969986,73.09508685499895,494.9999999999991,44967,14097,30870
17,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,603.2122874929993,575.6828872849946,27.529400208004517,520.9999999999981,0,0,0
17,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6277,406.42762170700007,346.73630221798516,59.691319489014866,521.000000000001,25610,19402,6208
17,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7030,933.6347827050047,867.0364652240169,66.59831748098803,520.9999999999975,31706,18893,12813
17,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,7014,1086.3932213669978,1008.5657951369648,77.82742623003287,520.999999999999,38471,20830,17641
18,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11679,517.363820503997,489.8946307329969,27.46918977099995,488.0000000000003,0,0,0
18,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5888,271.0054420009983,221.58579245301368,49.41964954798459,487.99999999999807,21018,14601,6417
18,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7287,513.6075692500017,457.7444153209945,55.86315392900725,488.00000000000426,26825,15013,11812
18,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6965,881.7441549159995,801.0706760949979,80.67347882100148,487.99999999999625,55411,16134,39277
19,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,566.8671445599974,539.7985710060093,27.068573553988248,511.0000000000023,0,0,0
19,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5754,349.6902040560017,292.6392291100274,57.050974945974296,510.9999999999971,25036,18541,6495
19,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,9426,1837.5722826529966,1761.6547625779929,75.91752007500327,511.00000000000273,59387,18211,41176
19,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6578,811.7192882689998,738.527047825999,73.19224044300063,511.0000000000024,36317,17986,18331
2,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,11101,422.9911346970002,397.7778109909986,25.21332370600157,504.00000000000153,0,0,0
2,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,5765,221.3113740620001,174.43491049500062,46.87646356699952,504.00000000000085,18619,12724,5895
2,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,8370,983.729574395,915.3512065119977,68.37836788300228,504.0,55009,12307,42702
2,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,7047,923.4735191319996,837.0967904610062,86.37672867099354,503.9999999999996,57713,14270,43443
20,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,593.0320133259956,565.069166397996,27.962846927999635,495.0000000000006,0,0,0
20,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6599,348.416025104998,292.55010178198427,55.8659233230137,494.99999999999847,22796,16502,6294
20,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7527,796.115707074001,727.959509244989,68.15619782901193,494.9999999999997,37284,16026,21258
20,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6769,622.9515663950006,560.5624939339978,62.3890724610028,495.0000000000004,25589,16869,8720
21,iterative,auto,warm,1,0.0,False,0.0,100,0.5,0.2,fixed,1000,4950,12101,630.9870941639965,603.1851637969885,27.801930367008023,521.0000000000006,0,0,0
21,iterative,auto,warm,1,0.0,True,0.0,100,0.5,0.2,fixed,1000,4950,6439,393.47305177800456,333.8645000039687,59.60855177403573,520.9999999999993,24749,18434,6315
21,iterative,auto,warm,1,0.0,True,0.1,100,0.5,0.2,fixed,1000,4950,7477,761.2905017540033,696.6104808870004,64.6800208670029,520.9999999999974,29135,17909,11226
21,iterative,auto,warm,1,0.0,True,0.3,100,0.5,0.2,fixed,1000,4950,6451,1301.2580783899975,1210.2437672560118,91.01431113398577,520.9999999999955,55840,19912,35928
