solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,min_order,min_proportion,proportion_used,variables,constraints,cpu_time
0,once,dual,cold,0,110,0.5,0.1,fixed,1000,863280,863280,2,1,1,5995,863281,374.086928024
0,iterative,dual,warm,0,110,0.5,0.1,fixed,1000,100,100,2,1,1,5995,101,0.011393413000007513
0,iterative,dual,warm,1,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,1101,0.05881411699999717
0,iterative,dual,warm,2,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,2101,0.08281786000003422
0,iterative,dual,warm,3,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,3101,0.10890712999997731
0,iterative,dual,warm,4,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,4101,0.22150060599994958
0,iterative,dual,warm,5,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,5101,3.436751534999985
0,iterative,dual,warm,6,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,6101,15.294938943000034
0,iterative,dual,warm,7,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,7101,30.831819419
0,iterative,dual,warm,8,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,8101,36.142688847000045
0,iterative,dual,warm,9,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,9101,29.357392234999907
0,iterative,dual,warm,10,110,0.5,0.1,fixed,1000,1000,1000,2,1,1,5995,10101,0.08838736700010941
1,once,dual,cold,0,110,0.5,0.1,fixed,1000,863280,863280,1,1,1,5995,863281,402.02005277500007
1,iterative,dual,warm,0,110,0.5,0.1,fixed,1000,100,100,1,0.1,1,5995,101,0.012884224000117683
1,iterative,dual,warm,1,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,1101,0.05121809899992513
1,iterative,dual,warm,2,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,2101,0.08057097799996882
1,iterative,dual,warm,3,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,3101,0.11304555099991376
1,iterative,dual,warm,4,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,4101,0.0633080699999482
1,iterative,dual,warm,5,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,5101,2.031842678999965
1,iterative,dual,warm,6,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,6101,15.357855788999814
1,iterative,dual,warm,7,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,7101,33.47540980900021
1,iterative,dual,warm,8,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,5995,8101,9.754086314000006
1,iterative,dual,warm,9,110,0.5,0.1,fixed,1000,1000,1000,1,0.1,1,5995,9101,0.056297631999996156
2,once,dual,cold,0,110,0.5,0.1,fixed,1000,863280,863280,0,1,1,5995,863281,341.7984973
2,iterative,dual,warm,0,110,0.5,0.1,fixed,1000,100,100,0,0.01,1,5995,101,0.01226854500009722
2,iterative,dual,warm,1,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,5995,1101,0.04384198699995068
2,iterative,dual,warm,2,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,5995,2101,0.06876330799991592
2,iterative,dual,warm,3,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,3101,0.08445858000004591
2,iterative,dual,warm,4,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,5995,4101,0.16677799099988988
2,iterative,dual,warm,5,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,5101,4.101660086000038
2,iterative,dual,warm,6,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,6101,20.86909827400018
2,iterative,dual,warm,7,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,7101,43.42347301699988
2,iterative,dual,warm,8,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,8101,63.08816366100018
2,iterative,dual,warm,9,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.01,5995,9101,38.63369939600011
2,iterative,dual,warm,10,110,0.5,0.1,fixed,1000,1000,1000,0,0.01,1,5995,10101,4.286444997999979
2,iterative,dual,warm,11,110,0.5,0.1,fixed,1000,1000,214,0,0.01,1,5995,10315,0.0502154570001494
3,once,dual,cold,0,110,0.5,0.1,fixed,3000,863280,863280,2,1,1,5995,863281,335.6838937739999
3,iterative,dual,warm,0,110,0.5,0.1,fixed,3000,100,100,2,1,1,5995,101,0.01216863799982093
3,iterative,dual,warm,1,110,0.5,0.1,fixed,3000,3000,3000,2,1,1,5995,3101,0.21761887599996044
3,iterative,dual,warm,2,110,0.5,0.1,fixed,3000,3000,3000,2,1,1,5995,6101,2.2010967709998113
3,iterative,dual,warm,3,110,0.5,0.1,fixed,3000,3000,3000,2,1,1,5995,9101,44.57231457600028
3,iterative,dual,warm,4,110,0.5,0.1,fixed,3000,3000,3000,2,1,1,5995,12101,4.5145970950002265
3,iterative,dual,warm,5,110,0.5,0.1,fixed,3000,3000,3000,2,1,1,5995,15101,0.08042972299972462
4,once,dual,cold,0,110,0.5,0.1,fixed,3000,863280,863280,1,1,1,5995,863281,390.9005217869999
4,iterative,dual,warm,0,110,0.5,0.1,fixed,3000,100,100,1,0.1,1,5995,101,0.011592406999625382
4,iterative,dual,warm,1,110,0.5,0.1,fixed,3000,3000,3000,1,0.1,0.1,5995,3101,0.18056746899992504
4,iterative,dual,warm,2,110,0.5,0.1,fixed,3000,3000,3000,1,0.1,0.1,5995,6101,3.53623006800035
4,iterative,dual,warm,3,110,0.5,0.1,fixed,3000,3000,3000,1,0.1,0.1,5995,9101,31.059758199000044
4,iterative,dual,warm,4,110,0.5,0.1,fixed,3000,3000,3000,1,0.1,1,5995,12101,11.98937500000011
4,iterative,dual,warm,5,110,0.5,0.1,fixed,3000,3000,1892,1,0.1,1,5995,13993,0.04622873900007107
5,once,dual,cold,0,110,0.5,0.1,fixed,3000,863280,863280,0,1,1,5995,863281,415.74601096800006
5,iterative,dual,warm,0,110,0.5,0.1,fixed,3000,100,100,0,0.01,1,5995,101,0.012375673000406096
5,iterative,dual,warm,1,110,0.5,0.1,fixed,3000,3000,3000,0,0.01,0.1,5995,3101,0.19068483799992464
5,iterative,dual,warm,2,110,0.5,0.1,fixed,3000,3000,3000,0,0.01,0.1,5995,6101,2.528075909999643
5,iterative,dual,warm,3,110,0.5,0.1,fixed,3000,3000,3000,0,0.01,0.1,5995,9101,17.253561480999906
5,iterative,dual,warm,4,110,0.5,0.1,fixed,3000,3000,3000,0,0.01,1,5995,12101,0.8369463279996125
6,once,dual,cold,0,110,0.5,0.1,fixed,10000,863280,863280,1,1,1,5995,863281,318.56174889299973
6,iterative,dual,warm,0,110,0.5,0.1,fixed,10000,100,100,1,1,1,5995,101,0.011747474999992846
6,iterative,dual,warm,1,110,0.5,0.1,fixed,10000,10000,10000,1,1,1,5995,10101,0.5431204579999758
6,iterative,dual,warm,2,110,0.5,0.1,fixed,10000,10000,10000,1,1,1,5995,20101,0.9811262870002793
6,iterative,dual,warm,3,110,0.5,0.1,fixed,10000,10000,1595,1,1,1,5995,21696,0.0735191759999907
7,once,dual,cold,0,110,0.5,0.1,fixed,10000,863280,863280,0,1,1,5995,863281,330.66121777800026
7,iterative,dual,warm,0,110,0.5,0.1,fixed,10000,100,100,0,0.1,1,5995,101,0.012168743000074755
7,iterative,dual,warm,1,110,0.5,0.1,fixed,10000,10000,10000,0,0.1,1,5995,10101,0.5590537059997587
7,iterative,dual,warm,2,110,0.5,0.1,fixed,10000,10000,10000,0,0.1,1,5995,20101,28.209126122999805
7,iterative,dual,warm,3,110,0.5,0.1,fixed,10000,10000,2313,0,0.1,1,5995,22414,0.07606687099996634
8,once,dual,cold,0,110,0.5,0.1,fixed,30000,863280,863280,1,1,1,5995,863281,441.8820464629998
8,iterative,dual,warm,0,110,0.5,0.1,fixed,30000,100,100,1,1,1,5995,101,0.012610358000529232
8,iterative,dual,warm,1,110,0.5,0.1,fixed,30000,30000,30000,1,1,1,5995,30101,4.331916721000198
8,iterative,dual,warm,2,110,0.5,0.1,fixed,30000,30000,24024,1,1,1,5995,54125,62.21344834299998
9,once,dual,cold,0,110,0.5,0.1,fixed,30000,863280,863280,0,1,1,5995,863281,343.26290413900006
9,iterative,dual,warm,0,110,0.5,0.1,fixed,30000,100,100,0,0.1,1,5995,101,0.011966402999860293
9,iterative,dual,warm,1,110,0.5,0.1,fixed,30000,30000,30000,0,0.1,1,5995,30101,5.157876895999834
9,iterative,dual,warm,2,110,0.5,0.1,fixed,30000,30000,22752,0,0.1,1,5995,52853,60.19511393199991
10,once,dual,cold,0,110,0.5,0.1,fixed,100000,863280,863280,0,1,1,5995,863281,342.7859392749997
10,iterative,dual,warm,0,110,0.5,0.1,fixed,100000,100,100,0,1,1,5995,101,0.011901321000550524
10,iterative,dual,warm,1,110,0.5,0.1,fixed,100000,100000,100000,0,1,1,5995,100101,809.6257987489998
10,iterative,dual,warm,2,110,0.5,0.1,fixed,100000,100000,55556,0,1,1,5995,155657,97.84371057299995
11,once,dual,cold,0,110,0.5,0.1,fixed,300000,863280,863280,0,1,1,5995,863281,348.87540654500026
11,iterative,dual,warm,0,110,0.5,0.1,fixed,300000,100,100,0,1,1,5995,101,0.011963124999965657
11,iterative,dual,warm,1,110,0.5,0.1,fixed,300000,300000,104556,0,1,1,5995,104657,997.4955933539995
11,iterative,dual,warm,2,110,0.5,0.1,fixed,300000,300000,56223,0,1,1,5995,160880,109.19371623000006
12,once,dual,cold,0,110,0.5,0.2,fixed,1000,863280,863280,2,1,1,5995,863281,1910.5509448739995
12,iterative,dual,warm,0,110,0.5,0.2,fixed,1000,100,100,2,1,1,5995,101,0.012227260998770362
12,iterative,dual,warm,1,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,1101,0.043976932000077795
12,iterative,dual,warm,2,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,2101,0.043911841999943135
12,iterative,dual,warm,3,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,3101,0.09706744499999331
12,iterative,dual,warm,4,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,4101,0.9901306290012144
12,iterative,dual,warm,5,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,5101,10.621423889999278
12,iterative,dual,warm,6,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,6101,26.804672683998433
12,iterative,dual,warm,7,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,7101,47.559052792999864
12,iterative,dual,warm,8,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,8101,81.63378388099954
12,iterative,dual,warm,9,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,9101,131.5406856210011
12,iterative,dual,warm,10,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,10101,179.67836739499944
12,iterative,dual,warm,11,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,11101,239.854932835
12,iterative,dual,warm,12,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,12101,246.0512887650002
12,iterative,dual,warm,13,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,13101,230.83146039800158
12,iterative,dual,warm,14,110,0.5,0.2,fixed,1000,1000,1000,2,1,1,5995,14101,127.17442195700096
13,once,dual,cold,0,110,0.5,0.2,fixed,1000,863280,863280,1,1,1,5995,863281,1337.2341725940005
