solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
243,once,auto,cold,1,,False,0,110,0.5,0.2,fixed,1000,5995,863281,707.6875,689.1875,18.5,576.9999999999964,0,0,0
243,iterative,auto,warm,1,,False,0,110,0.5,0.2,fixed,1000,5995,13101,379.484375,356.0625,23.421875,576.9999999999955,0,0,0
243,iterative,auto,warm,1,,True,0,110,0.5,0.2,fixed,1000,5995,6605,214.59375,171.359375,43.234375,576.9999999999989,26423,17710,8713
