solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,variables,constraints,cpu_time
0,once,dual,cold,0,60,0.5,0.1,proportion,0.01,136880,136880,1770,136881,464.11556373400003
0,iterative,dual,warm,0,60,0.5,0.1,proportion,0.01,100,100,1770,101,0.004771835999974883
0,iterative,dual,warm,1,60,0.5,0.1,proportion,0.01,1368,1368,1770,1469,0.024793466999994962
0,iterative,dual,warm,2,60,0.5,0.1,proportion,0.01,1368,1368,1770,2837,0.2279401010000015
0,iterative,dual,warm,3,60,0.5,0.1,proportion,0.01,1368,1368,1770,4205,0.2802296720000186
0,iterative,dual,warm,4,60,0.5,0.1,proportion,0.01,1368,1368,1770,5573,1.2624137860000246
0,iterative,dual,warm,5,60,0.5,0.1,proportion,0.01,1368,1368,1770,6941,3.2707353220000073
0,iterative,dual,warm,6,60,0.5,0.1,proportion,0.01,1368,1368,1770,8309,3.5997464999999806
0,iterative,dual,warm,7,60,0.5,0.1,proportion,0.01,1368,1368,1770,9677,2.7786514670000315
0,iterative,dual,warm,8,60,0.5,0.1,proportion,0.01,1368,1368,1770,11045,3.912772143999973
0,iterative,dual,warm,9,60,0.5,0.1,proportion,0.01,1368,1368,1770,12413,4.515435692999972
0,iterative,dual,warm,10,60,0.5,0.1,proportion,0.01,1368,1368,1770,13781,4.206103060000032
0,iterative,dual,warm,11,60,0.5,0.1,proportion,0.01,1368,1368,1770,15149,3.664707480000061
0,iterative,dual,warm,12,60,0.5,0.1,proportion,0.01,1368,1368,1770,16517,4.61102307200008
0,iterative,dual,warm,13,60,0.5,0.1,proportion,0.01,1368,1368,1770,17885,4.192210121000016
0,iterative,dual,warm,14,60,0.5,0.1,proportion,0.01,1368,1368,1770,19253,4.572013348000041
0,iterative,dual,warm,15,60,0.5,0.1,proportion,0.01,1368,1368,1770,20621,4.774606232999986
0,iterative,dual,warm,16,60,0.5,0.1,proportion,0.01,1368,1368,1770,21989,5.449856367999928
0,iterative,dual,warm,17,60,0.5,0.1,proportion,0.01,1368,1368,1770,23357,5.092725818000076
0,iterative,dual,warm,18,60,0.5,0.1,proportion,0.01,1368,1368,1770,24725,5.38303805299995
0,iterative,dual,warm,19,60,0.5,0.1,proportion,0.01,1368,1368,1770,26093,4.124487871000042
0,iterative,dual,warm,20,60,0.5,0.1,proportion,0.01,1368,1368,1770,27461,5.813078399999995
0,iterative,dual,warm,21,60,0.5,0.1,proportion,0.01,1368,1368,1770,28829,6.288553921000016
0,iterative,dual,warm,22,60,0.5,0.1,proportion,0.01,1368,1368,1770,30197,31.102564744999995
0,iterative,dual,warm,23,60,0.5,0.1,proportion,0.01,1368,1368,1770,31565,39.36273084599998
0,iterative,dual,warm,24,60,0.5,0.1,proportion,0.01,1368,1368,1770,32933,31.59320062200004
0,iterative,dual,warm,25,60,0.5,0.1,proportion,0.01,1368,1368,1770,34301,76.11241307399996
0,iterative,dual,warm,26,60,0.5,0.1,proportion,0.01,1368,1368,1770,35669,72.28765488200008
0,iterative,dual,warm,27,60,0.5,0.1,proportion,0.01,1368,1368,1770,37037,40.539073318999954
0,iterative,dual,warm,28,60,0.5,0.1,proportion,0.01,1368,1368,1770,38405,48.849479033999955
0,iterative,dual,warm,29,60,0.5,0.1,proportion,0.01,1368,1368,1770,39773,76.99555207800006
0,iterative,dual,warm,30,60,0.5,0.1,proportion,0.01,1368,1368,1770,41141,55.576688784
0,iterative,dual,warm,31,60,0.5,0.1,proportion,0.01,1368,1368,1770,42509,94.07432122799992
0,iterative,dual,warm,32,60,0.5,0.1,proportion,0.01,1368,1368,1770,43877,104.39941043999988
0,iterative,dual,warm,33,60,0.5,0.1,proportion,0.01,1368,1368,1770,45245,103.40823296000008
0,iterative,dual,warm,34,60,0.5,0.1,proportion,0.01,1368,1368,1770,46613,84.62839000600002
0,iterative,dual,warm,35,60,0.5,0.1,proportion,0.01,1368,1368,1770,47981,104.02089340899988
0,iterative,dual,warm,36,60,0.5,0.1,proportion,0.01,1368,1368,1770,49349,58.880147504000206
0,iterative,dual,warm,37,60,0.5,0.1,proportion,0.01,1368,1368,1770,50717,109.668447281
0,iterative,dual,warm,38,60,0.5,0.1,proportion,0.01,1368,1368,1770,52085,113.89868158800004
0,iterative,dual,warm,39,60,0.5,0.1,proportion,0.01,1368,1368,1770,53453,129.33446638200007
0,iterative,dual,warm,40,60,0.5,0.1,proportion,0.01,1368,1368,1770,54821,68.44648313199991
0,iterative,dual,warm,41,60,0.5,0.1,proportion,0.01,1368,1368,1770,56189,121.26569540400033
0,iterative,dual,warm,42,60,0.5,0.1,proportion,0.01,1368,1368,1770,57557,125.10330152200004
0,iterative,dual,warm,43,60,0.5,0.1,proportion,0.01,1368,1368,1770,58925,125.6364597490001
0,iterative,dual,warm,44,60,0.5,0.1,proportion,0.01,1368,1368,1770,60293,157.37115625399974
0,iterative,dual,warm,45,60,0.5,0.1,proportion,0.01,1368,1368,1770,61661,160.8648113549998
0,iterative,dual,warm,46,60,0.5,0.1,proportion,0.01,1368,1368,1770,63029,162.19051880999996
0,iterative,dual,warm,47,60,0.5,0.1,proportion,0.01,1368,1368,1770,64397,85.42301560000033
0,iterative,dual,warm,48,60,0.5,0.1,proportion,0.01,1368,1368,1770,65765,327.67811720200007
