solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,min_order,min_proportion,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,dual,cold,90,0.5,0.1,fixed,10,3,1,4005,469921,143.837615512,121.814415344,22.023200168000017,192.99999999999127
0,iterative,dual,warm,90,0.5,0.1,fixed,10,3,0.1,4005,3911,512.668557749,94.95297185300029,417.7155858959997,192.99999999999974
1,once,dual,cold,90,0.5,0.1,fixed,10,2,1,4005,469921,134.23114319299998,111.08016265799995,23.15098053500003,201.00000000000193
1,iterative,dual,warm,90,0.5,0.1,fixed,10,2,0.01,4005,3901,179.718395751,94.4052554629983,85.3131402880017,201.00000000000077
2,once,dual,cold,90,0.5,0.1,fixed,10,1,1,4005,469921,138.82765494900013,115.73830549499985,23.089349454000285,206.99999999999514
2,iterative,dual,warm,90,0.5,0.1,fixed,10,1,0.001,4005,4121,183.582378478,130.35576765399924,53.22661082400077,206.99999999999932
3,once,dual,cold,90,0.5,0.1,fixed,10,0,1,4005,469921,134.82675559200015,112.3539871349999,22.472768457000257,206.9999999999978
3,iterative,dual,warm,90,0.5,0.1,fixed,10,0,0.0001,4005,4751,287.14830093700016,194.59448441400355,92.55381652299661,207.00000000000097
4,once,dual,cold,90,0.5,0.1,fixed,30,3,1,4005,469921,144.682097162,121.48869582100019,23.1934013409998,204.00000000000037
4,iterative,dual,warm,90,0.5,0.1,fixed,30,3,0.1,4005,4211,235.40804626800013,74.4262415970004,160.98180467099974,204.0000000000046
5,once,dual,cold,90,0.5,0.1,fixed,30,2,1,4005,469921,140.14105678100032,118.24124260200006,21.89981417900026,239.99999999999844
5,iterative,dual,warm,90,0.5,0.1,fixed,30,2,0.01,4005,3971,106.61293294400002,73.4329417670001,33.17999117699992,239.99999999999704
6,once,dual,cold,90,0.5,0.1,fixed,30,1,1,4005,469921,131.63056370000004,109.86928345600018,21.761280243999863,212.99999999998363
6,iterative,dual,warm,90,0.5,0.1,fixed,30,1,0.001,4005,4661,154.21317950899993,125.53964566300283,28.6735338459971,212.9999999999983
7,once,dual,cold,90,0.5,0.1,fixed,30,0,1,4005,469921,133.2637969729999,110.24778362899997,23.01601334399993,199.99999999999133
7,iterative,dual,warm,90,0.5,0.1,fixed,30,0,0.0001,4005,4421,134.87748755799976,93.50530413800152,41.37218341999824,199.99999999999864
8,once,dual,cold,90,0.5,0.1,fixed,100,3,1,4005,469921,149.52898248700012,126.18381076100013,23.34517172599999,207.000000000005
8,iterative,dual,warm,90,0.5,0.1,fixed,100,3,1,4005,5101,500.64830010100013,67.48285606200125,433.1654440389989,206.99999999999855
9,once,dual,cold,90,0.5,0.1,fixed,100,2,1,4005,469921,136.16113813699985,112.73854032200006,23.42259781499979,190.00000000000986
9,iterative,dual,warm,90,0.5,0.1,fixed,100,2,0.1,4005,4301,94.89906928499977,38.555746910999915,56.343322373999854,189.99999999999625
10,once,dual,cold,90,0.5,0.1,fixed,100,1,1,4005,469921,146.0737936200003,124.25737066900001,21.816422951000277,192.99999999999798
10,iterative,dual,warm,90,0.5,0.1,fixed,100,1,0.01,4005,4701,86.61115032500038,58.09966590399745,28.511484421002933,192.99999999999707
11,once,dual,cold,90,0.5,0.1,fixed,100,0,1,4005,469921,143.88093051399937,122.11760994499991,21.76332056899946,230.99999999998818
11,iterative,dual,warm,90,0.5,0.1,fixed,100,0,0.001,4005,5201,140.00213529600023,109.321169034999,30.68096626100123,231.00000000000014
12,once,dual,cold,90,0.5,0.1,fixed,300,3,1,4005,469921,125.17583046500022,103.43068192400006,21.745148541000162,190.99999999999682
12,iterative,dual,warm,90,0.5,0.1,fixed,300,3,1,4005,5801,197.84337214700008,32.51831601699996,165.32505613000012,190.99999999999946
13,once,dual,cold,90,0.5,0.1,fixed,300,2,1,4005,469921,126.1018465899997,104.01960169100039,22.082244898999306,165.99999999999827
13,iterative,dual,warm,90,0.5,0.1,fixed,300,2,0.1,4005,4601,39.53493931100002,13.234541465000802,26.300397845999214,165.99999999999886
14,once,dual,cold,90,0.5,0.1,fixed,300,1,1,4005,469921,113.45450001399968,91.84694526800013,21.60755474599955,167.00000000000654
14,iterative,dual,warm,90,0.5,0.1,fixed,300,1,0.01,4005,5075,55.49986754299971,31.491107285000908,24.0087602579988,166.9999999999985
15,once,dual,cold,90,0.5,0.1,fixed,300,0,1,4005,469921,146.02815415500027,124.5168064569998,21.511347698000463,200.99999999999275
15,iterative,dual,warm,90,0.5,0.1,fixed,300,0,0.001,4005,5501,77.02865288700013,51.45489087299666,25.573762014003478,201.00000000000324
16,once,dual,cold,90,0.5,0.1,fixed,1000,2,1,4005,469921,131.46434360000057,109.92849050800032,21.535853092000252,184.99999999999767
16,iterative,dual,warm,90,0.5,0.1,fixed,1000,2,1,4005,7101,87.00955385900033,19.177078263000112,67.83247559600022,184.99999999999926
17,once,dual,cold,90,0.5,0.1,fixed,1000,1,1,4005,469921,144.38238918999923,122.32791311099936,22.05447607899987,207.99999999999966
