solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
42,iterative,auto,warm,1,,False,0,0,60,0.5,0.2,fixed,1000,100,100,0,1,,1770,101,0.004928652000671718,0,0,0
42,iterative,auto,warm,1,,False,0,1,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,1101,0.025511457000902737,0,0,0
42,iterative,auto,warm,1,,False,0,2,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,2101,0.526667329000702,0,0,0
42,iterative,auto,warm,1,,False,0,3,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,3101,4.522193666998646,0,0,0
42,iterative,auto,warm,1,,False,0,4,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,4101,6.492483446001643,0,0,0
42,iterative,auto,warm,1,,False,0,5,60,0.5,0.2,fixed,1000,1000,1000,0,1,,1770,5101,0.43335026299973833,0,0,0
42,iterative,auto,warm,1,,True,0,0,60,0.5,0.2,fixed,1000,100,100,0,1,,1770,101,0.004736204000437283,0,0,0
42,iterative,auto,warm,1,,True,0,1,60,0.5,0.2,fixed,1000,1000,1000,80,1,,1770,1021,0.02561501000127464,100,80,20
42,iterative,auto,warm,1,,True,0,2,60,0.5,0.2,fixed,1000,1000,1000,246,1,,1770,1775,0.24088199700054247,663,246,417
42,iterative,auto,warm,1,,True,0,3,60,0.5,0.2,fixed,1000,1000,1000,675,1,,1770,2100,1.3849662970005738,888,675,213
42,iterative,auto,warm,1,,True,0,4,60,0.5,0.2,fixed,1000,1000,1000,811,1,,1770,2289,1.8535783989991614,942,811,131
42,iterative,auto,warm,1,,True,0,5,60,0.5,0.2,fixed,1000,1000,1000,877,1,,1770,2412,2.0321774069998355,930,877,53
42,iterative,auto,warm,1,,True,0,6,60,0.5,0.2,fixed,1000,1000,1000,920,1,,1770,2492,1.7709879680005542,964,920,44
42,iterative,auto,warm,1,,True,0,7,60,0.5,0.2,fixed,1000,1000,1000,96,1,,1770,3396,0.02528589500070666,1069,96,973
