solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
3,iterative,auto,warm,1,,False,0,130,0.5,0.2,fixed,1000,8385,19101,4397.917379536004,4301.169272520005,96.74810701599927,866.9999999999964,0,0,0
3,iterative,auto,warm,1,,True,0,130,0.5,0.2,fixed,1000,8385,9222,2649.324747496001,2419.0169283929863,230.30781910301448,866.9999999999998,47733,33133,14600
3,iterative,auto,warm,1,,True,0.1,130,0.5,0.2,fixed,1000,8385,11417,3920.1152659650033,3659.2607118430024,260.854554122001,866.9999999999983,53861,32615,21246
3,iterative,auto,warm,1,,True,0.3,130,0.5,0.2,fixed,1000,8385,9939,6658.651263305001,6321.565491939968,337.085771365033,867.0000000000011,99127,33509,65618
