solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
287,once,auto,cold,1,,False,0,130,0.5,0.2,fixed,1000,8385,1431041,2305.5625,2276.359375,29.203125,898.0000000000042,0,0,0
287,iterative,auto,warm,1,,False,0,130,0.5,0.2,fixed,1000,8385,19101,1476.546875,1422.703125,53.84375,898.0000000000063,0,0,0
287,iterative,auto,warm,1,,True,0,130,0.5,0.2,fixed,1000,8385,9806,820.09375,711.921875,108.171875,897.9999999999969,40498,27295,13203
