solve_id,solve_type,method,warm_start,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,once,dual,cold,10,0.5,0.1,fixed,1000,45,481,0.04194246099999965,0.0036767140000000254,0.03826574699999963,0.0
0,iterative,dual,warm,10,0.5,0.1,fixed,1000,45,101,0.01754006600000002,0.0010133699999999024,0.01652669600000012,0.0
0,iterative,dual,cold,10,0.5,0.1,fixed,1000,45,101,0.017266829999999622,0.0010242950000001194,0.016242534999999503,0.0
0,once,auto,cold,10,0.5,0.1,fixed,1000,45,481,0.030070406000000105,0.002972698000000218,0.027097707999999887,0.0
0,iterative,auto,warm,10,0.5,0.1,fixed,1000,45,163,0.025975997999999834,0.0020021840000001845,0.02397381399999965,0.0
0,iterative,auto,cold,10,0.5,0.1,fixed,1000,45,181,0.03368940300000034,0.003531107999999783,0.030158295000000557,0.0
1,once,dual,cold,10,0.5,0.2,fixed,1000,45,481,0.03479564900000032,0.004851182999999981,0.029944466000000336,3.0
1,iterative,dual,warm,10,0.5,0.2,fixed,1000,45,174,0.027205292000000103,0.0028261389999997277,0.024379153000000375,3.0
1,iterative,dual,cold,10,0.5,0.2,fixed,1000,45,180,0.035723002000000115,0.006151544999999814,0.0295714570000003,3.0
1,once,auto,cold,10,0.5,0.2,fixed,1000,45,481,0.03251949299999968,0.004826058999999994,0.027693433999999684,3.0
1,iterative,auto,warm,10,0.5,0.2,fixed,1000,45,179,0.026943777000000058,0.002485346000000277,0.02445843099999978,3.0
1,iterative,auto,cold,10,0.5,0.2,fixed,1000,45,181,0.02755211699999993,0.003398847000000149,0.024153269999999782,3.0
2,once,dual,cold,10,0.8,0.1,fixed,1000,45,481,0.026083604999999732,0.0025593920000002157,0.023524212999999516,1.0
2,iterative,dual,warm,10,0.8,0.1,fixed,1000,45,101,0.017160389999999914,0.0009292369999998051,0.01623115300000011,1.0
2,iterative,dual,cold,10,0.8,0.1,fixed,1000,45,101,0.016597954999999942,0.0009195360000000541,0.015678418999999888,1.0
2,once,auto,cold,10,0.8,0.1,fixed,1000,45,481,0.026349842000000123,0.002558785999999813,0.02379105600000031,1.0
2,iterative,auto,warm,10,0.8,0.1,fixed,1000,45,101,0.017114590000000263,0.0009066299999997973,0.016207960000000465,1.0
2,iterative,auto,cold,10,0.8,0.1,fixed,1000,45,148,0.0253952759999998,0.0020680230000000854,0.023327252999999715,1.0
3,once,dual,cold,10,0.8,0.2,fixed,1000,45,481,0.025878078999999943,0.0023062439999996798,0.023571835000000263,4.0
3,iterative,dual,warm,10,0.8,0.2,fixed,1000,45,135,0.0252834420000001,0.0014624200000006304,0.02382102199999947,4.0
3,iterative,dual,cold,10,0.8,0.2,fixed,1000,45,151,0.025872085999999683,0.002234796999999844,0.02363728899999984,4.0
3,once,auto,cold,10,0.8,0.2,fixed,1000,45,481,0.025936811000000226,0.0023062880000002117,0.023630523000000014,4.0
3,iterative,auto,warm,10,0.8,0.2,fixed,1000,45,115,0.024659929999999886,0.0015614070000000702,0.023098522999999815,4.0
3,iterative,auto,cold,10,0.8,0.2,fixed,1000,45,145,0.02597193799999964,0.0023545670000002517,0.023617370999999387,4.0
4,once,dual,cold,10,0.5,0.1,fixed,1000,45,481,0.029614489999999716,0.0059950620000002175,0.0236194279999995,3.0
4,iterative,dual,warm,10,0.5,0.1,fixed,1000,45,191,0.04006292,0.004319938000000523,0.03574298199999948,3.0
4,iterative,dual,cold,10,0.5,0.1,fixed,1000,45,191,0.05244176999999972,0.010969142999999626,0.041472627000000095,3.0
4,once,auto,cold,10,0.5,0.1,fixed,1000,45,481,0.029844162999999924,0.00599182900000006,0.023852333999999864,3.0
4,iterative,auto,warm,10,0.5,0.1,fixed,1000,45,232,0.04670542899999974,0.005773814000000321,0.04093161499999942,3.0
4,iterative,auto,cold,10,0.5,0.1,fixed,1000,45,205,0.03636489900000006,0.006240995999999832,0.03012390300000023,3.0
5,once,dual,cold,10,0.5,0.2,fixed,1000,45,481,0.027592703999999912,0.003499405000000344,0.02409329899999957,1.0
5,iterative,dual,warm,10,0.5,0.2,fixed,1000,45,108,0.024819507999999324,0.0015479899999997215,0.023271517999999602,1.0
5,iterative,dual,cold,10,0.5,0.2,fixed,1000,45,141,0.02609258099999945,0.00267815700000007,0.02341442399999938,1.0
5,once,auto,cold,10,0.5,0.2,fixed,1000,45,481,0.027340911000000467,0.0034646299999998575,0.02387628100000061,1.0
5,iterative,auto,warm,10,0.5,0.2,fixed,1000,45,125,0.024817371000000144,0.0015695249999998495,0.023247846000000294,1.0
5,iterative,auto,cold,10,0.5,0.2,fixed,1000,45,190,0.03509553000000043,0.0044886689999987794,0.03060686100000165,1.0
6,once,dual,cold,10,0.8,0.1,fixed,1000,45,481,0.026318281,0.002572462999999914,0.023745818000000085,3.0
6,iterative,dual,warm,10,0.8,0.1,fixed,1000,45,145,0.025394573000000698,0.001655116000000234,0.023739457000000463,3.0
6,iterative,dual,cold,10,0.8,0.1,fixed,1000,45,173,0.026771303999999496,0.002596704999999311,0.024174599000000185,3.0
6,once,auto,cold,10,0.8,0.1,fixed,1000,45,481,0.029422834999999203,0.002528086000000762,0.02689474899999844,3.0
6,iterative,auto,warm,10,0.8,0.1,fixed,1000,45,144,0.02539977899999979,0.0014823920000006652,0.023917386999999124,3.0
6,iterative,auto,cold,10,0.8,0.1,fixed,1000,45,125,0.025075389000000392,0.0022375929999993716,0.02283779600000102,3.0
7,once,dual,cold,10,0.8,0.2,fixed,1000,45,481,0.025863295999999814,0.002385738999999276,0.023477557000000537,7.0
7,iterative,dual,warm,10,0.8,0.2,fixed,1000,45,149,0.02564253700000041,0.0017111880000006963,0.023931348999999713,7.0
7,iterative,dual,cold,10,0.8,0.2,fixed,1000,45,135,0.02478439799999954,0.00165968399999894,0.0231247140000006,7.0
7,once,auto,cold,10,0.8,0.2,fixed,1000,45,481,0.033420111999999946,0.002375134000000223,0.031044977999999723,7.0
7,iterative,auto,warm,10,0.8,0.2,fixed,1000,45,133,0.025272155999999768,0.001700028000000131,0.023572127999999637,7.0
7,iterative,auto,cold,10,0.8,0.2,fixed,1000,45,109,0.02444971799999962,0.001471310999999531,0.02297840700000009,7.0
8,once,dual,cold,10,0.5,0.1,fixed,1000,45,481,0.03236053700000063,0.0032217779999994534,0.02913875900000118,1.0
8,iterative,dual,warm,10,0.5,0.1,fixed,1000,45,179,0.026401694000000475,0.001699006999999142,0.024702687000001333,1.0
8,iterative,dual,cold,10,0.5,0.1,fixed,1000,45,158,0.026416465999999694,0.002547919000000398,0.023868546999999296,1.0
8,once,auto,cold,10,0.5,0.1,fixed,1000,45,481,0.03433211400000058,0.00319599100000012,0.03113612300000046,1.0
8,iterative,auto,warm,10,0.5,0.1,fixed,1000,45,173,0.02657296599999981,0.0019790250000006893,0.02459394099999912,1.0
8,iterative,auto,cold,10,0.5,0.1,fixed,1000,45,172,0.02665644300000025,0.002688698000000045,0.023967745000000207,1.0
9,once,dual,cold,10,0.5,0.2,fixed,1000,45,481,0.029623587999999756,0.005873086999999444,0.023750501000000313,6.277777777777781
9,iterative,dual,warm,10,0.5,0.2,fixed,1000,45,278,0.058998673999999696,0.00795043099999937,0.051048243000000326,6.277777777777772
9,iterative,dual,cold,10,0.5,0.2,fixed,1000,45,258,0.07077970500000053,0.021500501000001115,0.04927920399999941,6.277777777777777
9,once,auto,cold,10,0.5,0.2,fixed,1000,45,481,0.029816339999999997,0.005804619000000066,0.02401172099999993,6.277777777777781
9,iterative,auto,warm,10,0.5,0.2,fixed,1000,45,230,0.051661692999999786,0.006649408999999551,0.045012284000000236,6.277777777777776
9,iterative,auto,cold,10,0.5,0.2,fixed,1000,45,283,0.0712937629999999,0.021146121000001017,0.05014764199999888,6.2777777777777795
10,once,dual,cold,10,0.8,0.1,fixed,1000,45,481,0.03200273300000056,0.0018960249999997458,0.030106708000000815,2.0
10,iterative,dual,warm,10,0.8,0.1,fixed,1000,45,115,0.024246579999999796,0.0012106249999996876,0.023035955000000108,2.0
10,iterative,dual,cold,10,0.8,0.1,fixed,1000,45,115,0.02408613099999979,0.0013714609999997407,0.022714670000000048,2.0
10,once,auto,cold,10,0.8,0.1,fixed,1000,45,481,0.030463966999999315,0.0019024010000006086,0.028561565999998706,2.0
10,iterative,auto,warm,10,0.8,0.1,fixed,1000,45,122,0.0245209949999996,0.0009639889999997209,0.02355700599999988,2.0
10,iterative,auto,cold,10,0.8,0.1,fixed,1000,45,101,0.016617598999999927,0.0007036420000003929,0.015913956999999535,2.0
11,once,dual,cold,10,0.8,0.2,fixed,1000,45,481,0.03220056999999965,0.0031492099999992362,0.029051360000000415,5.0
11,iterative,dual,warm,10,0.8,0.2,fixed,1000,45,159,0.026308901999999357,0.0020529060000002985,0.024255995999999058,5.0
11,iterative,dual,cold,10,0.8,0.2,fixed,1000,45,145,0.02606288099999965,0.0025255829999997204,0.02353729799999993,5.0
11,once,auto,cold,10,0.8,0.2,fixed,1000,45,481,0.031234126000000195,0.003109949999999806,0.02812417600000039,5.0
11,iterative,auto,warm,10,0.8,0.2,fixed,1000,45,183,0.032387886999999616,0.0022929780000007227,0.030094908999998893,5.0
11,iterative,auto,cold,10,0.8,0.2,fixed,1000,45,161,0.02666783699999975,0.0026854790000010453,0.023982357999998705,5.0
